delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9966683,0.0025042157,99.995328,2.9237521e-05,0.016614736,2.2072026e-06,0.22221782,0.00014746756,0.00012523118,304.24426,-0.038776928,300.30098,-0.044484208,0.11171745,0.028020457,-0.015005302,23.590223,-21.705423,19.785388,-22.876614
3.9733866,0.025405658,99.990797,0.00080574661,0.17454426,6.115582e-05,0.49997933,0.00097172148,0.00091549489,1266.8186,-1.0351202,1241.5535,-1.0542781,0.4653094,0.11643856,-0.01224645,126.53982,-24.241007,116.81564,-32.595392
5.9104041,0.077644166,99.985598,0.004273663,0.56041223,0.00032467381,0.77773079,0.0023933562,0.0022515094,2319.1321,-4.8847118,2280.6706,-4.9588985,0.87375785,0.21312388,-0.018157827,200.85739,-19.169709,185.90551,-38.815914
7.7883668,0.14977249,99.977519,0.012683479,1.1487507,0.00095879653,1.055466,0.004744762,0.0043532896,2962.5078,-12.377109,2968.5104,-12.754478,1.1444931,0.27397541,-0.02771339,261.52403,-12.76694,240.66404,-43.066702
9.5885108,0.22437211,99.966292,0.027571153,1.8383568,0.0020679718,1.3331747,0.0079144577,0.0071354805,3141.4602,-21.67854,3252.9902,-23.338546,1.2403385,0.29431731,-0.035658328,306.12368,-8.0619417,286.00132,-45.081714
11.292849,0.28997117,99.952764,0.049531096,2.5549896,0.0036841624,1.6108484,0.012008301,0.010689349,3099.6234,-29.805331,3343.8073,-34.010699,1.2527847,0.29558806,-0.041241944,343.34364,-5.2854515,329.8929,-45.772905
12.884354,0.34244206,99.937556,0.078656898,3.2687991,0.0058012675,1.8884809,0.016904908,0.014829587,2990.2211,-34.305603,3370.3383,-41.557492,1.2361229,0.29107905,-0.045688642,372.83029,-3.5502205,368.81005,-45.883429
14.347122,0.38095029,99.920943,0.11486031,3.9696732,0.0084001114,2.1660672,0.022389108,0.019329936,2871.0071,-33.764264,3376.2831,-43.142543,1.2092495,0.28563366,-0.049586779,395.08758,-2.3215014,401.30826,-45.624924
15.666538,0.40572743,99.903098,0.15798905,4.6535446,0.011458903,2.4436031,0.028224576,0.023978559,2759.8831,-27.660214,3370.8323,-36.873935,1.1771431,0.28061735,-0.053022906,411.82549,-1.4083067,427.49762,-45.013534
16.82942,0.4172974,99.88419,0.20785943,5.317832,0.014956815,2.7210846,0.034154062,0.028570651,2661.6255,-16.01871,3354.7089,-22.013894,1.1410152,0.2763257,-0.055986646,423.99139,-0.75097607,447.21479,-44.028908
