delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39997333,0.00053851761,109.99422,6.2347182e-06,0.0035797161,4.6911006e-07,0.24443914,-7.5473077e-05,-8.0047596e-05,65.907243,-0.0055541741,65.691166,-0.011923674,0.024262445,0.0060836794,-0.020374509,-12.047865,-21.688557,-12.745284,-21.924495
0.79978668,0.0055592801,109.98801,0.00017569354,0.038408409,1.3322678e-05,0.54997329,0.00040705834,0.00039267095,283.52608,-0.21811579,282.27732,-0.23154471,0.10463463,0.02622838,-0.014251605,64.722771,-27.745445,62.188636,-29.514128
1.1992801,0.017925592,109.98396,0.00095694815,0.12885871,7.2627824e-05,0.85549695,0.00085712177,0.0008275269,579.91432,-1.0693535,578.1792,-1.0802083,0.21449075,0.053688149,-0.0086833394,134.97071,-28.529973,129.96819,-33.032956
1.5982939,0.03820066,109.9814,0.0029730947,0.28668724,0.00022545905,1.1610158,0.0012279348,0.0011670197,908.86629,-2.8914358,910.70407,-2.876887,0.3373429,0.084253867,-0.0061475758,175.8436,-27.730147,167.58414,-35.746016
1.9966683,0.065648975,109.97939,0.0069244349,0.51627154,0.00052398167,1.4665326,0.0016157955,0.0015029879,1240.4712,-5.7454316,1254.7458,-5.7030413,0.46377022,0.11537209,-0.0050579187,204.93314,-26.16117,192.99794,-38.154972
2.3942441,0.098796338,109.97751,0.013532892,0.8180117,0.0010204806,1.7720479,0.0019737728,0.0017822586,1556.2237,-9.3654502,1596.4005,-9.3362279,0.58876103,0.14553732,-0.0057453633,218.80678,-24.170641,203.01149,-40.419297
2.7908623,0.13578267,109.97524,0.023512283,1.1901157,0.001764561,2.0775605,0.0023786683,0.0020828925,1845.0542,-13.190263,1928.0806,-13.271819,0.70965592,0.17395497,-0.0070880921,229.1085,-21.86891,210.05409,-42.514823
3.1863641,0.17453246,109.97237,0.037548558,1.6287366,0.0028014807,2.3830682,0.0028209845,0.0023718378,2092.222,-16.431603,2236.6072,-16.742937,0.81966293,0.19938856,-0.0092463195,234.31607,-19.443437,211.11513,-44.457663
3.5805915,0.21279125,109.96875,0.056274332,2.1268371,0.0041707889,2.688568,0.003301482,0.0026698571,2294.9183,-18.237053,2518.0181,-18.776962,0.91570611,0.22162309,-0.011596988,238.91676,-17.071897,212.58281,-46.184702
