delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.010286517,109.99478,-0.00018107415,-0.069025307,-1.3609828e-05,0.24444036,-7.0206014e-05,-3.5123748e-05,-754.49568,0.24941533,-763.94103,0.24366137,-0.27953474,-0.070190422,-0.022197381,-10.7573,-23.902192,-5.4512791,-19.923832
-2,-0.041029437,109.9874,-0.0018854244,-0.29119302,-0.00014300893,0.54997456,0.00037097555,0.00044295366,-1280.7337,2.2618165,-1282.5691,2.2255916,-0.47414872,-0.11848487,-0.018510417,47.396773,-33.480284,56.69703,-22.828315
-2,-0.079089475,109.98172,-0.0062699932,-0.59618428,-0.00047624462,0.85549383,0.00094050838,0.0010832922,-1570.5828,6.3629715,-1547.4012,6.2395459,-0.57973046,-0.14390179,-0.013448269,108.84692,-37.809564,123.52136,-22.385589
-2,-0.11747021,109.97777,-0.013956604,-0.94706669,-0.0010565904,1.1610034,0.0014862705,0.0017147436,-1737.6955,11.600398,-1677.2952,11.217426,-0.63824393,-0.15727258,-0.008833326,162.09592,-40.61036,180.42708,-21.77376
-2,-0.15225981,109.97527,-0.025288313,-1.3225093,-0.0019036754,1.466508,0.001889154,0.002220174,-1834.1948,16.586445,-1730.324,15.695439,-0.66861704,-0.16381861,-0.0053448988,201.02114,-42.641671,222.6295,-21.317728
-2,-0.18141513,109.97381,-0.040443894,-1.7103255,-0.0030235551,1.7720107,0.0021393757,0.0025627722,-1890.6686,19.887021,-1741.8576,18.405032,-0.68263811,-0.16671845,-0.0030806756,226.23154,-44.087743,249.23055,-20.968119
-2,-0.20380821,109.97297,-0.059503995,-2.1025465,-0.004414969,2.0775134,0.0022479796,0.0027733449,-1921.4003,20.262033,-1729.6688,18.485457,-0.68494846,-0.16756213,-0.001872693,238.59105,-45.035576,264.26688,-20.689056
-2,-0.21888535,109.97243,-0.082483013,-2.493705,-0.0060726083,2.3830168,0.0022517611,0.0028748776,-1935.9915,16.791965,-1705.4019,15.436786,-0.67932373,-0.16740503,-0.00148925,241.07977,-45.542442,270.11598,-20.45346
-2,-0.22647215,109.97195,-0.10935033,-2.8801172,-0.0079893165,2.6885206,0.0021935716,0.0028898379,-1940.6726,8.9899851,-1676.4703,9.0373725,-0.66869875,-0.16691914,-0.0016859047,237.37989,-45.687391,268.81867,-20.235585
-2,-0.2266409,109.97135,-0.14004501,-3.2593288,-0.010157545,2.994024,0.0020982147,0.0028524818,-1939.9373,-3.1845765,-1647.6521,-0.6946972,-0.65454639,-0.16654223,-0.002266669,229.52793,-45.783727,263.36477,-20.0593
-2,-0.21962647,109.97052,-0.17448582,-3.629656,-0.012570224,3.2995256,0.0019842299,0.0027864327,-1937.0795,-20.034131,-1621.7878,-13.742884,-0.63779329,-0.16657547,-0.0030769858,219.18985,-45.983273,255.71372,-19.981592
-2,-0.20577494,109.9694,-0.21257747,-3.989905,-0.015221261,3.605024,0.0018692556,0.0027036513,-1934.3031,-41.678777,-1600.2701,-29.94641,-0.6194553,-0.16718633,-0.0039546543,208.19084,-45.698489,246.80081,-19.833121
-2,-0.18548924,109.96798,-0.25421518,-4.3393451,-0.0181058,3.9105176,0.0017622707,0.0026174342,-1933.1632,-67.562903,-1583.7039,-49.010009,-0.60018547,-0.1684382,-0.004830976,197.54742,-45.290042,237.71621,-19.727801
-2,-0.15920074,109.96626,-0.29928847,-4.6775222,-0.021220295,4.2160049,0.0016658134,0.0025389493,-1934.7807,-97.336058,-1572.2271,-70.673238,-0.58021601,-0.17036231,-0.0056588924,187.61381,-44.96095,229.37223,-19.669307
-2,-0.12735297,109.96425,-0.34768333,-5.0041474,-0.024562468,4.5214845,0.0015833048,0.0024715176,-1939.7263,-130.71841,-1565.5992,-94.660362,-0.55985968,-0.17294843,-0.0064018073,178.86246,-44.690654,222.00298,-19.648151
-2,-0.090387321,109.96199,-0.39928362,-5.3190575,-0.028131221,4.8269548,0.0015168749,0.0024170493,-1948.1981,-167.4124,-1563.4174,-120.68795,-0.53934564,-0.17616041,-0.0070379757,171.61344,-44.451347,215.7373,-19.658364
-2,-0.048734492,109.95949,-0.45397202,-5.6221665,-0.031926531,5.1324146,0.0014653282,0.0023787721,-1960.2288,-207.10559,-1565.2528,-148.47213,-0.51870554,-0.17995223,-0.0075596944,165.79164,-44.232382,210.82525,-19.695719
-2,-0.0028096765,109.95679,-0.51163064,-5.9134331,-0.035949334,5.4378626,0.0014277609,0.0023568853,-1975.7039,-249.379,-1570.6414,-177.73468,-0.49804246,-0.18426421,-0.0079680774,161.34026,-44.032702,207.25198,-19.756707
-2,0.047003643,109.95392,-0.5721419,-6.1930015,-0.040201388,5.743298,0.0014039508,0.0023499359,-1994.4041,-293.24376,-1579.1106,-207.65472,-0.47787087,-0.18897991,-0.0082683549,158.26818,-43.860348,204.8647,-19.833834
-2,0.10034531,109.9509,-0.63539032,-6.4610537,-0.044685141,6.0487198,0.0013925034,0.002357679,-2016.1113,-339.19816,-1590.2419,-238.41091,-0.45782772,-0.19410064,-0.0084690681,156.44024,-43.716076,203.61798,-19.924926
-2,0.15686223,109.94777,-0.7012614,-6.7176497,-0.049403647,6.3541273,0.0013917767,0.0023794262,-2040.6271,-387.00758,-1603.6606,-269.89342,-0.4378897,-0.19958321,-0.0085808841,155.68615,-43.596943,203.42746,-20.028619
-2,0.21621842,109.94454,-0.76964131,-6.9628673,-0.054360475,6.6595197,0.0014007881,0.0024135214,-2067.7413,-436.4556,-1619.0169,-301.89447,-0.41810906,-0.20538127,-0.0086145539,155.90598,-43.501681,204.12967,-20.142036
-2,0.27810131,109.94123,-0.840417,-7.1967651,-0.059559622,6.9648965,0.0014185001,0.0024590575,-2097.2898,-487.34343,-1634.5351,-334.22229,-0.39828076,-0.21138643,-0.0085792751,156.98805,-43.427686,205.60415,-20.263411
-2,0.34224513,109.93785,-0.91347562,-7.4194548,-0.06500535,7.2702573,0.0014436502,0.0025151189,-2128.9353,-537.82267,-1650.449,-366.06072,-0.37929685,-0.21746991,-0.0084859969,158.78371,-43.375034,207.7485,-20.387092
-2,0.4084341,109.93441,-0.98870824,-7.6314447,-0.070702057,7.5756015,0.0014754498,0.0025848865,-2159.9748,-588.94355,-1667.5955,-397.1053,-0.3607402,-0.22357898,-0.0083344113,161.17616,-42.760519,210.08594,-20.506247
-2,0.4764172,109.93093,-1.0660088,-7.8328496,-0.076654223,7.8809289,0.0015138594,0.0026674875,-2193.0563,-640.99802,-1685.8314,-428.06206,-0.34232921,-0.22987555,-0.0081488504,163.91935,-42.675769,213.11026,-20.289757
-2,0.54593248,109.92741,-1.1452722,-8.0237901,-0.082866521,8.1862389,0.0015611501,0.0027595467,-2227.9172,-693.87526,-1704.9307,-458.82625,-0.32424201,-0.23632662,-0.0079417359,167.14209,-42.722594,216.60323,-20.319394
-2,0.61673107,109.92386,-1.2263949,-8.2044639,-0.089343811,8.4915314,0.0016140154,0.0028597223,-2264.395,-747.47537,-1724.7184,-489.29414,-0.30648257,-0.24290667,-0.0077067786,170.81635,-42.798302,220.4497,-20.432123
-2,0.68860425,109.92026,-1.3092765,-8.3754012,-0.096091103,8.7968059,0.0016712013,0.0029670571,-2302.3325,-798.77378,-1744.962,-518.2562,-0.29052516,-0.24940114,-0.0074493448,174.81136,-42.889173,224.55241,-20.551384
-2,0.7613972,109.91664,-1.3938246,-8.537475,-0.10311346,9.1020621,0.0017319236,0.003081687,-2341.5956,-850.35466,-1765.4237,-545.83536,-0.27527424,-0.25591782,-0.0071731656,179.04826,-42.995341,228.8881,-20.65215
-2,0.8349257,109.91298,-1.4799521,-8.6908494,-0.11041597,9.4072997,0.0017958603,0.0032029905,-2382.0772,-902.36055,-1784.3541,-572.96857,-0.25998389,-0.26242051,-0.0068797548,183.49584,-43.104817,233.40943,-20.745593
