delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19999667,0.00014964744,59.997515,1.7023067e-06,0.00098905667,1.3127318e-07,0.13333095,-0.00010641853,-0.00010835285,18.790074,0.00043645199,18.748761,-0.00570875,0.0069247723,0.001732953,-0.008776415,-16.810148,-22.554639,-17.087099,-22.65344
0.39997333,0.0017049816,59.995016,5.1302328e-05,0.011486198,3.966373e-06,0.29998791,0.00014187946,0.00013694568,87.661651,-0.067552269,87.45251,-0.085288212,0.032394952,0.0081095892,-0.0054313566,22.648902,-24.840674,21.815112,-25.526934
0.59991,0.0059084316,59.993502,0.00029231745,0.040621369,2.251842e-05,0.46664057,0.00030548672,0.00029394328,192.67038,-0.39756058,192.25693,-0.41688277,0.071294855,0.017815041,-0.0032412473,48.618985,-24.875858,46.691793,-26.591651
0.79978668,0.013512878,59.992567,0.00094584994,0.094941304,7.2497577e-05,0.63329127,0.0004050331,0.00038307511,322.64027,-1.1977451,322.46632,-1.2148138,0.11967468,0.029807267,-0.0020923507,64.201412,-24.449088,60.702532,-27.542792
0.99958339,0.02485494,59.9919,0.0022873397,0.17875501,0.00017432781,0.79994117,0.00046117381,0.00042712984,466.15039,-2.6524958,467.42258,-2.6518631,0.17356229,0.043043115,-0.0016785037,72.69169,-23.752243,67.528881,-28.477463
1.1992801,0.039961776,59.991287,0.0046250874,0.29462121,0.00035039541,0.96659061,0.00049207732,0.00044055357,618.94134,-4.8599586,623.78303,-4.8366466,0.2315417,0.057159844,-0.0017683814,77.021415,-22.865294,69.52459,-29.415327
1.3988569,0.058742179,59.990581,0.0082905343,0.44451504,0.00062415425,1.1332393,0.00051194512,0.00044015262,774.37687,-7.8322318,785.98175,-7.7970004,0.29149032,0.071588544,-0.0022691665,77.857297,-21.829709,67.997288,-30.360768
1.5982939,0.080837003,59.989663,0.013626388,0.62876422,0.0010191003,1.2998865,0.00055820648,0.0004568542,928.17345,-11.462881,950.63827,-11.468375,0.35190147,0.085985795,-0.0029061139,78.316226,-20.700467,65.71062,-31.296228
1.797571,0.10591632,59.988519,0.020978589,0.84782104,0.0015581751,1.4665314,0.00059812713,0.00046604507,1077.838,-15.545781,1116.0854,-15.696135,0.41215845,0.10017673,-0.0036159669,78.775913,-19.518633,63.624382,-32.252616
1.9966683,0.13342152,59.987125,0.030691299,1.1007135,0.0022634445,1.6331729,0.00063889508,0.0004665391,1219.5891,-19.791678,1278.7895,-20.235815,0.47068274,0.11384816,-0.0043919794,79.889698,-18.33319,61.24273,-33.190286
2.195566,0.1629488,59.985464,0.043100462,1.3870944,0.0031556882,1.7998101,0.00067827861,0.00046859632,1355.2084,-23.869909,1441.1243,-24.767,0.52824238,0.12722312,-0.0051951507,81.179469,-17.137057,59.713812,-34.131154
2.3942441,0.1938934,59.983522,0.058534581,1.7054499,0.0042546443,1.9664417,0.00074764834,0.00048311944,1480.1431,-27.437214,1597.9161,-28.919415,0.58301226,0.13988411,-0.0060744325,82.896047,-15.966884,57.933308,-35.034601
2.5926829,0.22587135,59.981305,0.077308634,2.0550649,0.0055786565,2.1330668,0.00083108417,0.00050793458,1599.7925,-30.147308,1755.2084,-32.278853,0.63651888,0.15240017,-0.0068884672,85.975481,-14.812248,57.755836,-35.941069
2.7908623,0.25831153,59.978835,0.099727523,2.4340485,0.0071452299,2.2996842,0.00092733812,0.00053941688,1707.4207,-31.678023,1904.675,-34.418825,0.68629804,0.16410907,-0.0076797538,90.119053,-13.717518,58.589296,-36.802062
2.9887626,0.29086012,59.976115,0.12607794,2.8413336,0.0089705547,2.4662928,0.0010366812,0.00057572746,1810.9931,-31.73097,2055.0429,-34.904526,0.73444479,0.1758165,-0.0084717975,95.194748,-12.639689,60.104208,-37.640456
