delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99958339,0.00077601593,59.997561,8.8792318e-06,0.0051241037,6.8424648e-07,0.13333097,-6.5611993e-05,-7.4407093e-05,95.308668,-0.010672021,94.645966,-0.016787204,0.035075654,0.0087758917,-0.0083584599,-10.48495,-22.390538,-11.814575,-22.899801
1.9966683,0.0085499014,59.995165,0.00025881037,0.057575656,1.9993044e-05,0.29998825,0.00022640676,0.00020062354,438.18479,-0.37528677,433.36404,-0.39367589,0.16117236,0.040376128,-0.0055087502,36.065484,-23.497317,31.61197,-26.922399
2.9887626,0.029239344,59.993298,0.0014582686,0.20100791,0.00011225896,0.46664096,0.00046358447,0.00041007591,941.66002,-1.9903186,932.40376,-2.0272427,0.34696815,0.086713917,-0.0055796909,66.660833,-21.276784,58.378664,-29.684977
3.9733866,0.065436065,59.990963,0.0046586323,0.46060698,0.00035708919,0.63328906,0.0007738361,0.00065740391,1508.9116,-5.8717364,1505.6253,-5.9662294,0.5613832,0.1391649,-0.0080283566,91.599115,-17.885869,77.632114,-32.566145
4.9480792,0.11657635,59.987422,0.01107874,0.84521563,0.00084419455,0.79992979,0.0012371756,0.0010126261,2048.2341,-12.683944,2074.5066,-13.017921,0.77875191,0.18974997,-0.012353908,114.55298,-13.822718,94.971563,-35.404847
5.9104041,0.17950178,59.982175,0.021949274,1.3479133,0.0016591245,0.96655833,0.0019027697,0.0015100684,2483.4979,-22.173463,2572.6666,-23.421408,0.96941272,0.23187487,-0.017677944,138.46956,-9.6402141,113.86894,-37.90208
6.8579561,0.24928477,59.975058,0.038344073,1.9449288,0.0028709639,1.1331688,0.0028291858,0.0021160207,2764.2644,-33.300561,2949.6309,-36.619421,1.1055377,0.26097524,-0.022966216,164.99556,-6.0151473,131.70448,-39.800136
7.7883668,0.32073832,59.966249,0.061053966,2.6058398,0.0045252294,1.2997552,0.0039853743,0.0029385864,2909.417,-44.589771,3213.9657,-51.298931,1.1926648,0.27851318,-0.027481812,190.0202,-3.2087212,154.75349,-41.125691
8.6993107,0.38972007,59.956113,0.090582041,3.3045848,0.0066451931,1.4663126,0.0054962504,0.0040191786,2954.7962,-54.466885,3386.7662,-65.584524,1.2407626,0.28734998,-0.030891488,218.04839,-1.183731,182.67621,-42.005117
9.5885108,0.4534837,59.94503,0.12720688,4.0224458,0.0092377585,1.632837,0.0074285437,0.005360997,2939.0017,-61.585904,3493.6037,-77.370302,1.2615425,0.29063459,-0.033331359,248.91361,0.21119668,213.36791,-42.529806
10.453745,0.51039607,59.933321,0.17105198,4.7467502,0.012299613,1.7993257,0.0097765165,0.0069971952,2890.4093,-64.986665,3552.7022,-84.724901,1.2642633,0.29066099,-0.034988938,280.41726,1.119631,246.41448,-42.753565
11.292849,0.559579,59.921248,0.22213608,5.4689015,0.015821822,1.9657765,0.012566424,0.0089533917,2827.6299,-64.093752,3576.616,-86.208983,1.2547174,0.28896697,-0.036022126,312.36722,1.6552571,281.11685,-42.742948
12.103728,0.60065139,59.909013,0.28040568,6.1828787,0.019792791,2.1321879,0.01581397,0.011223654,2761.0332,-58.629426,3575.0621,-80.948126,1.2362811,0.28652854,-0.036582449,344.6115,1.9029051,316.16449,-42.596195
12.884354,0.63358065,59.89676,0.34575652,6.8844655,0.024200072,2.2985587,0.019480869,0.013799568,2696.3551,-48.511808,3557.9883,-68.447475,1.2118504,0.28408409,-0.036818229,376.2154,1.9350533,350.98627,-42.422174
13.632775,0.65860168,59.884578,0.41804969,7.5708728,0.029031584,2.4648879,0.023538073,0.016664765,2636.5063,-33.782455,3535.4392,-48.334572,1.1836232,0.28223611,-0.036857089,406.95235,1.8204752,385.53654,-42.276648
14.347122,0.67614976,59.872509,0.49712395,8.2403364,0.034276502,2.6311745,0.027956674,0.019772959,2582.6114,-14.571817,3515.265,-20.306078,1.1529192,0.2813931,-0.036801246,436.80719,1.6131922,419.55509,-41.996607
15.025608,0.68676707,59.860563,0.5828041,8.8917469,0.039925746,2.7974173,0.032679095,0.023066932,2534.7187,8.9146863,3500.9925,14.674494,1.1205868,0.28165447,-0.036750017,465.63389,1.3476733,452.91526,-42.485472
15.666538,0.69102,59.848725,0.67490485,9.5239726,0.045972021,2.9636151,0.037649494,0.02649655,2491.8524,36.395482,3491.9058,58.731138,1.0859236,0.28301564,-0.036660298,493.18283,1.0345546,485.23933,-42.23228
16.26831,0.68945763,59.837003,0.77322821,10.135684,0.052409585,3.1297666,0.042819909,0.030022345,2453.981,67.527734,3485.0273,110.44946,1.0489088,0.28524815,-0.036560063,519.47321,0.66623158,516.0344,-41.894089
16.82942,0.68256258,59.82539,0.87756262,10.725435,0.059233882,3.2958705,0.048135045,0.033616089,2420.2404,101.91763,3477.6818,169.31267,1.0092358,0.28814158,-0.036431492,544.38048,0.24277256,545.02748,-41.630017
17.348465,0.67077582,59.813888,0.98768144,11.291684,0.066441206,3.4619257,0.05354628,0.037258117,2389.8596,139.14479,3468.8404,234.90206,0.96689399,0.29157222,-0.036248958,567.87553,-0.23792247,572.24812,-41.383006
17.824147,0.65467376,59.802484,1.1033456,11.834043,0.074028718,3.6279309,0.058984724,0.040887672,2370.6245,178.26357,3474.4495,305.81623,0.92688747,0.29653305,-0.036153539,591.83894,-0.72441767,599.99481,-41.197073
18.255279,0.63492845,59.791134,1.2243241,12.353447,0.081995618,3.7938848,0.064364057,0.044441247,2355.4526,218.91816,3482.3177,381.77698,0.885795,0.3020808,-0.036070062,614.50976,-1.2020507,626.01574,-41.049598
18.640782,0.61191201,59.779834,1.3503826,12.848746,0.090342134,3.9597859,0.069667769,0.047907205,2340.8077,260.97024,3491.3559,462.68107,0.84284675,0.30799175,-0.035946207,635.43117,-1.7151654,650.50321,-40.890206
18.979692,0.58599583,59.768589,1.4812763,13.319014,0.099068853,4.1256329,0.07487776,0.051261726,2326.4613,303.73217,3501.8893,547.3158,0.79871166,0.31418509,-0.035759072,654.84194,-2.2651017,673.66332,-40.712871
19.271164,0.55748229,59.757415,1.6167545,13.764191,0.10817662,4.2914244,0.079970757,0.054483718,2312.2662,345.28314,3513.1794,632.61144,0.75507079,0.32039062,-0.035460336,672.90393,-2.8316796,695.50006,-40.068026
