delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.006050303,59.997756,-0.00010375111,-0.040147088,-7.9961147e-06,0.13333178,-0.00019149013,-0.00016842058,-453.96526,0.16213307,-460.10051,0.15575986,-0.16830423,-0.042181954,-0.011196511,-29.78854,-24.085726,-26.556957,-20.843977
-2,-0.026842103,59.994112,-0.0011436913,-0.18310104,-8.821735e-05,0.29998774,4.0959319e-05,9.1065851e-05,-866.9741,1.6559769,-870.30942,1.6214158,-0.32061466,-0.080234835,-0.0090089905,6.0267089,-28.654731,13.460385,-20.576111
-2,-0.056842944,59.99136,-0.0040022416,-0.39927108,-0.00030736179,0.46663563,0.00028810911,0.00038142175,-1156.5821,5.264382,-1146.5875,5.164482,-0.42682589,-0.1061652,-0.0065855306,38.3564,-31.062698,50.367911,-19.272569
-2,-0.091797841,59.989373,-0.0092931577,-0.66640282,-0.0007091037,0.63327799,0.00048639328,0.00063071814,-1361.4808,10.974768,-1329.0343,10.680266,-0.50144484,-0.12361579,-0.0047256338,61.915196,-32.918301,78.404044,-18.196256
-2,-0.1287484,59.987943,-0.017445869,-0.96919433,-0.0013208647,0.79991672,0.00063331639,0.00082434294,-1500.0763,18.264108,-1438.7146,17.457695,-0.55200762,-0.13447443,-0.003485336,77.593236,-34.349984,96.893101,-17.291226
-2,-0.16550237,59.986877,-0.028754129,-1.2959599,-0.0021580818,0.96655301,0.00073141541,0.00097990991,-1596.5634,26.274212,-1502.4521,24.544486,-0.58620804,-0.14119478,-0.00268456,86.942697,-35.428537,109.62001,-16.565329
-2,-0.20064223,59.986048,-0.043415434,-1.6385886,-0.0032280208,1.1331875,0.00078153884,0.001082948,-1660.6924,34.009897,-1532.9111,31.043654,-0.60777845,-0.14490593,-0.0022390191,91.726075,-36.229496,117.29569,-16.000946
-2,-0.23313395,59.985348,-0.061554394,-1.9905407,-0.0045323252,1.2998204,0.00079453693,0.0011416619,-1699.0697,40.487906,-1539.2231,36.194094,-0.61914566,-0.14642082,-0.0020607299,93.112398,-36.788549,121.1422,-15.577885
-2,-0.26225717,59.984703,-0.083236699,-2.346528,-0.0060686945,1.4664516,0.00078079143,0.0011675258,-1717.1756,44.823673,-1528.7427,39.391019,-0.62220498,-0.14640572,-0.0020670724,92.028185,-37.133749,122.40641,-15.277851
-2,-0.28754774,59.984063,-0.1084804,-2.7022721,-0.0078322405,1.6330808,0.00074971874,0.0011702211,-1719.6701,46.30188,-1507.2785,40.186504,-0.61853678,-0.14540144,-0.0021925643,89.278558,-37.294188,121.99623,-15.085601
-2,-0.30874917,59.983396,-0.13726513,-3.0543326,-0.0098165413,1.7997075,0.00070979489,0.0011562199,-1710.6095,44.412044,-1479.2958,38.278274,-0.60951773,-0.14384173,-0.0023879163,85.628837,-37.306384,120.436,-14.988633
-2,-0.32577134,59.982686,-0.16953985,-3.3999845,-0.012014448,1.9663313,0.00066854631,0.0011292613,-1693.5339,38.839344,-1448.1361,33.49228,-0.59637896,-0.14206898,-0.0026172306,81.827469,-37.208128,117.96082,-14.974157
-2,-0.3386552,59.981925,-0.20522932,-3.7371024,-0.014418688,2.1329515,0.00062628188,0.0010980975,-1671.5423,29.431109,-1416.2727,25.762309,-0.5799337,-0.14035218,-0.0028570583,77.820755,-37.023428,115.33798,-15.029207
-2,-0.3475427,59.981109,-0.2442396,-4.0640444,-0.0170223,2.2995676,0.00058429796,0.0010668443,-1647.1925,16.198106,-1385.4268,15.109352,-0.56093559,-0.13888826,-0.003090487,73.712669,-36.736076,112.87934,-15.139531
-2,-0.35264691,59.980242,-0.28646265,-4.3796049,-0.019818912,2.4661789,0.00054729811,0.0010335998,-1622.4213,-0.41835178,-1356.7188,1.6525836,-0.54027269,-0.13779289,-0.0033140209,70.073263,-36.531274,110.28962,-15.276593
-2,-0.35422665,59.979318,-0.33178036,-4.6829361,-0.02280291,2.6327849,0.0005160855,0.0010002395,-1598.6391,-20.660589,-1330.8654,-14.457589,-0.51830739,-0.13716897,-0.0035341463,67.011991,-36.600546,107.68888,-15.521356
-2,-0.35258679,59.978346,-0.38006674,-4.9733127,-0.025969547,2.7993849,0.00048754163,0.00097199889,-1576.8546,-44.71422,-1308.2962,-33.083494,-0.49521314,-0.13708529,-0.0037080086,64.133188,-36.197258,105.58152,-15.731791
-2,-0.34804431,59.977333,-0.43118982,-5.2502582,-0.029314986,2.9659784,0.00046196655,0.00094893234,-1557.6786,-71.826875,-1289.1716,-53.935877,-0.47141796,-0.13752909,-0.0038626094,61.481572,-35.859781,103.94077,-15.982905
-2,-0.34091762,59.976283,-0.48501392,-5.5134874,-0.032836278,3.1325648,0.00044217046,0.00092761436,-1541.4264,-101.64953,-1273.4694,-76.753033,-0.44733255,-0.13848543,-0.0039956291,59.446692,-35.564333,102.3698,-16.255622
-2,-0.33152119,59.975197,-0.54140129,-5.7628648,-0.036531317,3.2991437,0.00042807639,0.00090943968,-1528.2407,-133.83761,-1261.0745,-101.25155,-0.42315522,-0.13992621,-0.004111888,57.882401,-35.282239,100.90591,-16.54021
-2,-0.32015965,59.974079,-0.60021334,-5.9983694,-0.040398787,3.4657147,0.00041699854,0.00089905872,-1518.1765,-168.02796,-1251.8125,-127.13718,-0.39896896,-0.14181559,-0.0042022727,56.584194,-35.009396,99.955198,-16.831887
-2,-0.30712403,59.972933,-0.66131174,-6.220065,-0.044438082,3.6322773,0.00040807185,0.00089286945,-1511.171,-203.8546,-1245.4457,-154.11368,-0.37494599,-0.14410864,-0.0042712925,55.52477,-34.74622,99.413736,-17.127793
-2,-0.29268851,59.971764,-0.72455928,-6.4281105,-0.048649235,3.7988311,0.0004026339,0.00088826482,-1507.0775,-240.95862,-1241.6974,-181.8902,-0.35131499,-0.14675536,-0.0043224989,54.893804,-34.493863,98.987547,-17.423574
-2,-0.27709844,59.970571,-0.78982106,-6.6228619,-0.053032825,3.9653758,0.00039998798,0.00088570571,-1505.7173,-278.21188,-1240.2947,-209.65933,-0.32861052,-0.14964507,-0.0043577386,54.603757,-34.259583,98.725827,-17.711615
-2,-0.26057524,59.96936,-0.85696663,-6.8047665,-0.057589879,4.1319112,0.00039882936,0.00088635588,-1506.8993,-316.08211,-1240.9741,-237.60944,-0.30648087,-0.15278692,-0.0043787074,54.482348,-34.041301,98.757919,-17.991821
-2,-0.24333297,59.96813,-0.92586931,-6.9741738,-0.062321815,4.2984368,0.00039919507,0.00088959619,-1510.4063,-354.29575,-1243.4725,-265.59526,-0.2849887,-0.15613908,-0.0043868912,54.539583,-33.837508,99.016102,-18.264333
-2,-0.22556668,59.966883,-0.99640612,-7.1314764,-0.067230374,4.4649524,0.00040142318,0.00089452698,-1516.0068,-392.60748,-1247.5361,-293.4095,-0.2642239,-0.15965794,-0.0043836085,54.826153,-33.649645,99.402664,-18.527528
-2,-0.20745295,59.965622,-1.0684581,-7.2771,-0.07231756,4.6314577,0.00040520578,0.00090114395,-1523.4764,-430.80005,-1252.9329,-320.86759,-0.24423089,-0.16330364,-0.0043701077,55.303875,-33.478777,99.920154,-18.780029
-2,-0.18915079,59.964349,-1.1419109,-7.4114935,-0.07758558,4.7979524,0.00041011053,0.00090958887,-1532.5997,-468.68314,-1259.4484,-347.80875,-0.22503315,-0.16703988,-0.0043474988,55.917172,-33.325208,100.58748,-19.020991
-2,-0.17079624,59.963062,-1.2166544,-7.5352024,-0.083036787,4.9644364,0.00041602552,0.0009212092,-1543.1654,-505.20433,-1266.8799,-373.53923,-0.20716884,-0.17076643,-0.0043204158,56.653923,-33.191932,101.29737,-19.245003
-2,-0.15248143,59.961766,-1.2925864,-7.649095,-0.08867361,5.1309092,0.00042303345,0.00093548875,-1554.9732,-540.50504,-1275.0518,-397.94751,-0.19054513,-0.17446735,-0.0042791855,57.472735,-32.979211,102.18496,-19.447819
-2,-0.1343103,59.960464,-1.3696114,-7.7536997,-0.094498509,5.2973706,0.00043187693,0.00095131433,-1567.8354,-575.12202,-1283.816,-421.56406,-0.17471471,-0.17817638,-0.0042245952,58.403889,-32.772399,103.16787,-19.517131
