delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39997333,0.00049438974,99.995085,5.698041e-06,0.0032814234,4.3041206e-07,0.22221767,-4.2041109e-05,-4.646242e-05,60.594497,-0.0051774644,60.401085,-0.01108189,0.022322148,0.0055957178,-0.016927988,-6.7154266,-22.024389,-7.4027466,-22.256664
0.79978668,0.0051762058,99.990158,0.00016211934,0.035574398,1.233063e-05,0.49997764,0.00043719687,0.00042374563,264.07368,-0.20810949,262.91615,-0.21881676,0.097522481,0.024439581,-0.010773693,69.533926,-27.472838,67.124741,-29.190997
1.1992801,0.016920263,99.987139,0.00088989759,0.12049894,6.7690034e-05,0.77772997,0.00079570872,0.00076745358,547.02696,-1.0417528,545.32196,-1.042901,0.20236553,0.050637819,-0.0064626475,125.4725,-27.901054,120.67277,-32.262677
1.5982939,0.036517439,99.985185,0.002783883,0.27026458,0.00021143367,1.0554792,0.0010584268,0.0010013814,866.14421,-2.8643378,867.52988,-2.8373597,0.32145805,0.080245484,-0.0049376112,154.77458,-26.874095,146.75315,-34.641527
1.9966683,0.063510019,99.983461,0.006522879,0.49001129,0.00049410626,1.3332268,0.0013526148,0.0012484051,1191.9168,-5.8050441,1204.5851,-5.7507198,0.44539209,0.11073005,-0.0046692304,174.33658,-25.156083,162.73249,-36.793043
2.3942441,0.09668041,99.981668,0.012814616,0.78079979,0.00096697712,1.6109726,0.0016158739,0.0014431543,1504.845,-9.6792004,1541.418,-9.649384,0.56879978,0.1404918,-0.0056597975,184.36292,-23.096553,168.87886,-38.886354
2.7908623,0.13438168,99.979374,0.02236463,1.141351,0.0016791651,1.8887152,0.0019441309,0.0016609884,1793.3058,-14.000011,1869.9259,-14.125047,0.68833302,0.16866798,-0.0072784828,192.14181,-20.761065,171.44392,-40.853021
3.1863641,0.17474651,99.976457,0.035856114,1.5684525,0.0026758368,2.1664522,0.002284056,0.0018842448,2048.189,-18.024095,2182.7479,-18.4992,0.80115373,0.19455524,-0.0094531921,195.99406,-18.340985,172.66605,-42.721851
3.5805915,0.21572306,99.972769,0.053927242,2.0562787,0.0039969471,2.4441807,0.0026926275,0.0021249313,2256.9031,-20.920351,2466.7964,-21.871254,0.89949873,0.21706114,-0.011725052,201.9133,-15.964799,174.56339,-44.429181
3.9733866,0.25516497,99.968284,0.077143225,2.5960257,0.005676059,2.7218976,0.0031629879,0.0023798051,2419.706,-21.886549,2719.5056,-23.185206,0.98103359,0.2361571,-0.014130321,207.52116,-13.769337,175.89632,-45.897479
4.3645925,0.29105179,99.963029,0.10597435,3.1776965,0.0077396524,2.9995999,0.0036830889,0.0026783552,2539.2079,-20.221845,2939.4531,-21.334457,1.0459859,0.25199859,-0.016380126,213.58376,-11.824318,180.23882,-47.082074
4.7540525,0.32158281,99.957071,0.14078752,3.7909952,0.010207367,3.2772847,0.0043016547,0.0030185306,2616.4637,-15.377866,3121.7909,-15.313956,1.0919151,0.26449392,-0.018372241,222.16196,-10.157775,186.4426,-47.947246
5.141611,0.3452368,99.950505,0.18184753,4.425831,0.013092683,3.5549493,0.005015563,0.0034056471,2660.9853,-6.9770529,3269.7869,-4.4210929,1.1212898,0.27428695,-0.020111346,232.14724,-8.7888173,194.13846,-48.555892
5.527113,0.36087893,99.943426,0.22932587,5.0735917,0.016403958,3.8325912,0.0058184639,0.0038644414,2682.1424,5.1802304,3388.3786,11.941125,1.1374662,0.28208393,-0.021603584,242.93458,-7.7113686,204.28637,-49.374123
5.9104041,0.36768097,99.935924,0.28331219,5.7265906,0.02014561,4.1102085,0.0067412131,0.0043990202,2683.2162,21.201535,3476.5945,35.008448,1.1400964,0.28806161,-0.022798256,255.3012,-6.8700025,216.31492,-49.834054
6.2913312,0.36511004,99.928092,0.34382411,6.3781164,0.024319093,4.387799,0.0077851346,0.0050085998,2672.9084,41.02973,3542.0647,64.940893,1.1324178,0.29298033,-0.023742581,268.84343,-6.2720643,229.67784,-49.782732
