delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19999667,0.00024408673,99.99508,2.7969374e-06,0.0016205507,2.1130035e-07,0.22221767,-5.0207641e-05,-5.2526055e-05,30.265048,-0.0010396924,30.189055,-0.0069434106,0.011149452,0.0027955918,-0.017010261,-8.0177756,-22.078629,-8.376471,-22.193612
0.39997333,0.0025811572,99.990133,8.0751104e-05,0.017743312,6.1444353e-06,0.49997759,0.00041996128,0.00041337712,131.64252,-0.10119819,131.28723,-0.1117782,0.048666613,0.012193154,-0.010765712,66.701047,-27.896593,65.529346,-28.754076
0.59991,0.0084698957,99.987171,0.00044430624,0.060330473,3.3818664e-05,0.77772991,0.00076679705,0.00075130998,275.61383,-0.52593608,275.03992,-0.52244225,0.10203501,0.025526718,-0.0060944458,121.29758,-29.016982,118.68944,-31.207268
0.79978668,0.018401473,99.985486,0.0013958972,0.13614077,0.00010601671,1.0554795,0.00098010492,0.00095175143,440.17421,-1.4579333,440.26917,-1.4120864,0.16330031,0.040759962,-0.0034498482,154.14442,-28.925025,149.84923,-32.856989
0.99958339,0.032205984,99.984456,0.0032849021,0.24822479,0.00024869231,1.3332291,0.0011006696,0.0010530924,614.2803,-2.9747288,617.03864,-2.84763,0.22857205,0.05690778,-0.0023046696,171.73732,-28.301572,165.24937,-34.238466
1.1992801,0.049488854,99.983622,0.0064842649,0.39837802,0.00048903037,1.6109795,0.00117374,0.0010999913,790.04815,-5.0157588,798.89442,-4.7644032,0.29519022,0.073303158,-0.0025067245,175.66632,-27.333854,166.86506,-35.470091
1.3988569,0.069563421,99.982594,0.011375003,0.58655262,0.00085403482,1.8887301,0.0012845059,0.0011736286,963.53377,-7.3886117,983.08319,-6.9763104,0.36180448,0.089661497,-0.0031183133,176.20952,-26.13269,164.73468,-36.579171
1.5982939,0.091744156,99.981341,0.018337587,0.81261908,0.0013698826,2.1664798,0.0013706736,0.0012164616,1128.437,-9.7850869,1164.447,-9.198666,0.42655674,0.10548349,-0.0039089962,175.81095,-24.843372,161.5296,-37.681153
1.797571,0.11519356,99.979782,0.027743661,1.0752989,0.0020613828,2.4442271,0.0014340839,0.0012290181,1288.3832,-11.832207,1347.1753,-11.059418,0.49036018,0.12116329,-0.0049254652,174.15371,-23.494184,156.64847,-38.746582
1.9966683,0.13917567,99.977837,0.039956419,1.3737336,0.0029521037,2.7219704,0.0015038476,0.0012405903,1434.9107,-13.123991,1523.3848,-12.13198,0.5508497,0.1359806,-0.0062593633,169.74363,-22.099786,149.4751,-39.760075
2.195566,0.16292321,99.975438,0.055324591,1.7065679,0.0040640956,2.999708,0.0016141701,0.001277892,1577.8061,-13.259457,1703.6252,-11.951648,0.61065854,0.15092668,-0.0075001601,167.62811,-20.690938,144.11038,-40.735752
2.3942441,0.18570118,99.972646,0.074187042,2.0723357,0.0054184411,3.277438,0.0017388047,0.0013205629,1706.0482,-11.877758,1875.0252,-10.052713,0.66612622,0.16493797,-0.0086383619,167.62621,-19.332949,140.79785,-41.688693
2.5926829,0.20688523,99.969476,0.096865007,2.4697676,0.007034904,3.5551588,0.0018711975,0.0013665282,1828.2852,-8.6644385,2048.2982,-5.9936208,0.71983799,0.17894161,-0.0097775235,168.32578,-18.001055,138.74322,-42.622395
2.7908623,0.22572113,99.965914,0.12366441,2.8964595,0.008932367,3.8328688,0.0020466305,0.0014330379,1940.7567,-3.3771967,2216.9689,0.61553766,0.7696305,0.19249294,-0.010968123,169.70415,-16.712353,136.80635,-43.544587
2.9887626,0.24164435,99.961989,0.15486947,3.3505577,0.011128547,4.1105664,0.0022547466,0.0015193561,2040.0106,4.169732,2378.2719,10.240728,0.81396835,0.20534276,-0.012008634,173.34442,-15.55048,137.23697,-44.557086
3.1863641,0.25397396,99.957739,0.19073662,3.8288988,0.013639863,4.3882501,0.0024867721,0.0016235857,2131.632,14.237362,2536.3996,23.493928,0.85443275,0.21798277,-0.01297117,178.21598,-14.429478,139.50408,-45.469053
3.383647,0.26208006,99.953184,0.23149353,4.3280049,0.016481583,4.6659185,0.0027624371,0.0017487676,2209.8067,26.858655,2681.6425,40.735364,0.88754665,0.22971104,-0.013898432,183.72186,-13.370888,142.33238,-46.124582
3.5805915,0.26546227,99.94835,0.27733143,4.8446891,0.019667433,4.9435702,0.0030776903,0.0018964085,2276.1024,42.070185,2817.3098,62.151128,0.91406342,0.24076921,-0.014698744,190.75741,-12.4266,146.676,-46.68234
3.7771779,0.26357086,99.943276,0.32840448,5.3748932,0.023209669,5.2212038,0.0034234472,0.0020701322,2333.862,59.889166,2944.6462,87.971791,0.93511927,0.2513809,-0.015418111,198.4278,-11.601885,152.63255,-47.200017
3.9733866,0.25594941,99.937979,0.38482994,5.9146758,0.027119187,5.4988178,0.0038178543,0.0022685851,2381.0048,80.29152,3058.3926,118.43394,0.94875931,0.26121628,-0.016070666,206.89131,-10.895867,159.21857,-47.653948
4.169198,0.24228811,99.932484,0.44668599,6.4605355,0.031405425,5.7764108,0.0042552982,0.002489541,2417.222,103.21955,3160.3757,153.7431,0.95524612,0.27035485,-0.016619452,216.22451,-10.298088,166.70956,-48.049096
4.3645925,0.22230034,99.926814,0.51401309,7.0086692,0.036076492,6.0539814,0.004727485,0.0027388456,2446.7091,128.58559,3253.6168,194.06246,0.95634974,0.27913294,-0.0171075,225.6669,-9.8064822,175.22943,-48.379186
4.5595505,0.19579009,99.920978,0.58681667,7.5554915,0.041139378,6.3315281,0.0052489926,0.0030165694,2469.6561,156.27346,3338.0551,239.50812,0.95182055,0.28755842,-0.017528959,235.71934,-9.4179799,184.50604,-48.638638
4.7540525,0.16266155,99.91499,0.6650683,8.0977865,0.046600023,6.6090494,0.0058180463,0.003316715,2484.0659,185.80411,3410.2292,289.33698,0.94088592,0.29532211,-0.017868985,246.20368,-9.1284158,194.1946,-48.832735
4.9480792,0.12288901,99.908854,0.74870845,8.6327726,0.052463329,6.8865437,0.0064276652,0.0036452869,2492.9123,216.96868,3475.4479,344.07837,0.92537598,0.30282023,-0.018169106,256.52204,-8.9219787,204.40373,-48.975031
5.141611,0.076517729,99.902572,0.83764966,9.1575842,0.058733399,7.1640097,0.0070860727,0.004003198,2497.698,249.95193,3533.9748,403.93079,0.90539963,0.31015497,-0.018412099,267.20629,-8.7969316,215.24367,-49.066092
5.3346287,0.023669657,99.896144,0.93177754,9.6695703,0.065413669,7.4414456,0.0077942868,0.0043865377,2498.7418,284.56698,3586.0902,468.84512,0.88105552,0.31734142,-0.018616064,278.06446,-8.7499902,226.33348,-49.108274
5.527113,-0.035471555,99.889562,1.0309526,10.166331,0.07250698,7.7188501,0.0085479669,0.0047991787,2496.4157,320.559,3631.0553,537.8779,0.85286724,0.32430692,-0.018776248,288.84757,-8.7743045,237.75437,-49.104507
5.7190445,-0.10071112,99.882825,1.1350148,10.646322,0.08001562,7.9962215,0.009351149,0.0052423166,2490.307,356.08006,3670.1847,609.68008,0.82218857,0.33094589,-0.018861358,299.63474,-8.8495865,249.54008,-48.357864
5.9104041,-0.17180612,99.875929,1.2437892,11.107847,0.087941383,8.2735584,0.010208381,0.0057151012,2482.0026,392.60243,3704.6181,685.96755,0.7881393,0.33753115,-0.018935561,310.46582,-8.7938422,261.52691,-48.164614
6.1011727,-0.2484475,99.868856,1.3570822,11.549022,0.096285668,8.5508593,0.011116236,0.0062188961,2471.7987,429.93171,3734.7044,766.55612,0.75117123,0.34407497,-0.018990443,321.26477,-8.9012922,273.77934,-48.150195
6.2913312,-0.33031409,99.861594,1.4746839,11.968575,0.10504955,8.8281226,0.012077681,0.0067568803,2459.9766,466.55963,3760.8107,847.62946,0.7134173,0.35036055,-0.019019707,331.97645,-9.1001002,286.30708,-48.125289
6.4808606,-0.41712973,99.85413,1.5963783,12.36625,0.11423377,9.105347,0.013097455,0.0073282743,2446.8109,501.96468,3783.3408,931.13408,0.67438178,0.35648579,-0.01901573,342.76242,-9.320014,299.06936,-48.083762
6.6697418,-0.50852604,99.846455,1.7219424,12.740952,0.12383879,9.382531,0.014174523,0.0079346932,2432.5564,537.5904,3802.5929,1017.9992,0.63334161,0.36258499,-0.01898401,353.47403,-9.5707066,312.02607,-48.007045
6.8579561,-0.60412176,99.83856,1.8511427,13.091907,0.1338649,9.6596733,0.015311004,0.0085785686,2417.4776,572.16996,3818.7506,1104.0771,0.59246807,0.36842883,-0.018918705,364.19045,-9.8431185,325.24583,-47.891723
7.0454847,-0.70363549,99.830437,1.9837463,13.419863,0.14431218,9.9367724,0.016511021,0.0092606712,2401.7829,604.34251,3832.4552,1190.0968,0.55217451,0.37402709,-0.018804753,374.92593,-10.093532,338.69177,-47.361783
7.2323086,-0.80669182,99.822087,2.119523,13.724395,0.15518051,10.213827,0.017775156,0.0099825509,2385.6084,636.42048,3843.9393,1278.4199,0.51065839,0.37961305,-0.018667731,385.6869,-10.34658,352.3837,-46.973523
7.4184094,-0.91291335,99.8135,2.258237,14.005241,0.16646974,10.490836,0.019105383,0.010746361,2369.2255,666.79792,3853.419,1363.7427,0.4706073,0.3848893,-0.018500505,396.47469,-10.43836,366.33901,-46.742298
7.6037683,-1.0220462,99.804671,2.3996596,14.263816,0.17817953,10.767799,0.020504592,0.011553107,2352.7702,694.43673,3861.1112,1447.8099,0.43185776,0.38990497,-0.018305681,407.33579,-10.584017,380.5445,-46.515782
7.7883668,-1.1337295,99.795597,2.5435694,14.50002,0.19030944,11.044713,0.021974428,0.012404799,2336.3659,721.83011,3867.2075,1533.1972,0.39254621,0.39490919,-0.018080839,418.27135,-10.753422,395.02495,-46.259115
7.9721866,-1.2476314,99.786277,2.6897436,14.714243,0.20285902,11.321579,0.023504818,0.013292015,2320.1472,746.6762,3871.9117,1612.831,0.35609607,0.39948007,-0.01784812,429.08297,-10.921051,409.44054,-45.962929
8.1552091,-1.3635368,99.77669,2.8379728,14.908149,0.21582771,11.598394,0.025060518,0.014184289,2304.3167,769.32088,3875.4731,1691.2985,0.32071471,0.40385692,-0.017674163,439.18798,-11.052232,422.89475,-45.571165
8.337416,-1.48111,99.766803,2.9880549,15.08173,0.22921487,11.875159,0.026616548,0.015065945,2289.0378,791.70313,3878.0582,1770.2226,0.28515515,0.40821408,-0.017590909,448.2622,-11.163508,435.01461,-45.016595
8.5187893,-1.6000963,99.756572,3.1397902,15.235952,0.24301986,12.151872,0.028159376,0.015930789,2274.4156,810.72468,3879.5746,1840.7094,0.25352656,0.41199467,-0.017613539,456.22868,-11.237811,445.72137,-44.564724
8.6993107,-1.7203108,99.745957,3.292995,15.372266,0.25724192,12.428531,0.029682402,0.016778208,2260.5222,828.51431,3880.0966,1910.8934,0.22231551,0.41568019,-0.017730889,463.12664,-11.204459,455.11732,-44.122745
8.8789621,-1.8414585,99.734922,3.4474912,15.490776,0.27188026,12.705136,0.031182136,0.01760946,2247.4101,846.08482,3879.9438,1979.1509,0.19182954,0.41925985,-0.017935692,469.04198,-11.175485,463.37302,-43.630343
9.0577257,-1.9633721,99.723437,3.6031073,15.593058,0.28693411,12.981685,0.032657992,0.018425923,2235.0995,859.72811,3879.1661,2039.6271,0.16528137,0.42229495,-0.018215351,474.09137,-11.125155,470.62213,-43.140376
