delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39997333,0.00040201971,79.996487,4.5961707e-06,0.0026611233,3.5025055e-07,0.17777448,-6.1629118e-05,-6.5771321e-05,49.547956,-0.0039259662,49.392466,-0.00968993,0.018256597,0.004573575,-0.012140903,-9.8450303,-22.473339,-10.479225,-22.694081
0.79978668,0.0043431307,79.992986,0.00013354262,0.029543969,1.0227273e-05,0.39998366,0.00028875975,0.00027684268,222.21781,-0.17957398,221.23389,-0.19331673,0.082050548,0.020552883,-0.0076614029,46.012278,-26.209382,43.929988,-27.788375
1.1992801,0.014600769,79.99081,0.00074519172,0.10210949,5.6979953e-05,0.62218718,0.00053609595,0.0005097626,472.75938,-0.94084886,471.11262,-0.95311924,0.17478937,0.043717691,-0.0048005515,84.820585,-26.010009,80.384032,-29.989153
1.5982939,0.032344661,79.989335,0.002365851,0.23304848,0.0001803523,0.84438806,0.00069827115,0.00064842224,766.03635,-2.694474,766.4779,-2.6962691,0.28410799,0.07086593,-0.0037363937,107.93106,-24.827322,100.31318,-31.927988
1.9966683,0.057668868,79.987935,0.0056172634,0.42904555,0.00042660906,1.0665873,0.00089473067,0.00080243244,1075.1232,-5.6938842,1084.3099,-5.6983737,0.40102235,0.099646148,-0.0040427477,120.25776,-23.093504,108.81157,-33.784685
2.3942441,0.089913731,79.986366,0.011165885,0.6926947,0.00084406324,1.2887843,0.0010708971,0.00092129578,1379.0225,-9.9373971,1407.6885,-10.007359,0.51959512,0.12831212,-0.0048708231,131.08863,-21.092723,115.17295,-35.678126
2.7908623,0.1279153,79.984335,0.019689647,1.023963,0.001480084,1.5109778,0.0012856909,0.0010561761,1663.7633,-15.117684,1725.9831,-15.434517,0.63632511,0.15572821,-0.0065983774,135.73757,-18.845249,115.77451,-37.499712
3.1863641,0.17022385,79.981712,0.031856808,1.4209604,0.0023791546,1.7331657,0.0015278978,0.0011992912,1920.4226,-20.642159,2032.3502,-21.520496,0.74811369,0.18123528,-0.0084780232,142.22878,-16.531624,118.28355,-39.275682
3.5805915,0.21519201,79.978378,0.048306895,1.8797242,0.0035815413,1.9553455,0.0018241507,0.0013694293,2141.9768,-25.775428,2320.0641,-27.559596,0.85096802,0.20425333,-0.010667352,148.00013,-14.230887,120.498,-40.930144
3.9733866,0.26104964,79.974311,0.069627518,2.3938447,0.005122228,2.1775144,0.0021883148,0.0015471821,2324.1065,-29.741285,2583.3244,-32.647816,0.94051109,0.22440292,-0.012885567,156.49247,-12.070036,123.15887,-42.439323
4.3645925,0.30601476,79.96951,0.096331757,2.9549842,0.0070301351,2.3996698,0.002602669,0.0017664341,2465.4426,-31.798432,2817.5371,-35.755141,1.015327,0.24149325,-0.01503546,165.00606,-10.112175,128.15594,-43.731656
4.7540525,0.34839622,79.964037,0.12884368,3.5539318,0.0093278846,2.6218087,0.00308845,0.0020371959,2564.8376,-31.301318,3015.951,-35.825402,1.0728638,0.25524781,-0.017000437,174.50828,-8.4010872,135.52173,-44.782022
5.141611,0.38667738,79.957978,0.16749339,4.1811601,0.012032137,2.8439289,0.0036804268,0.0023481071,2630.2063,-27.741561,3181.0492,-31.87884,1.1139118,0.26622611,-0.018706377,186.74171,-6.9713374,144.25447,-45.567255
5.527113,0.4196391,79.951426,0.21251981,4.8279545,0.015154281,3.0660278,0.0043573457,0.0027181315,2669.2761,-20.761503,3316.039,-23.09965,1.141075,0.27499058,-0.020163436,199.74585,-5.8153757,154.93774,-46.077064
5.9104041,0.44632421,79.944481,0.26407868,5.4865234,0.018701388,3.2881034,0.0051295139,0.0031626997,2687.6926,-10.146748,3422.4016,-9.012545,1.1557836,0.28190907,-0.021365779,213.54949,-4.9123793,167.78553,-46.340417
6.2913312,0.46601791,79.937231,0.32225202,6.1499418,0.022677138,3.5101538,0.0060209012,0.0036740251,2689.1422,4.1987773,3501.248,10.533856,1.158376,0.28721943,-0.022337675,228.79392,-4.239199,181.8811,-47.005293
6.6697418,0.47826801,79.929745,0.38705773,6.8122039,0.027082643,3.7321772,0.0070190752,0.004255643,2680.7215,22.269691,3560.3976,37.041631,1.1516735,0.29167953,-0.02310358,244.62363,-3.7721037,197.06954,-47.333824
7.0454847,0.4828655,79.922091,0.45845873,7.4683323,0.03191726,3.9541716,0.0081212039,0.0049162212,2665.6785,43.989681,3604.3392,70.48461,1.1374288,0.29564313,-0.023692071,260.68599,-3.486108,213.44621,-47.209533
7.4184094,0.47977787,79.914312,0.53637253,8.1141948,0.037179271,4.1761355,0.0093405009,0.0056488909,2644.8255,69.215921,3635.9507,110.73452,1.1160817,0.29926825,-0.024151645,277.13776,-3.3465256,230.4786,-47.145442
7.7883668,0.46911652,79.906435,0.62067871,8.7462735,0.042866348,4.3980671,0.010670214,0.0064483463,2621.3262,97.752017,3660.6454,157.86856,1.0893812,0.30294315,-0.02452618,293.68352,-3.329656,247.91453,-47.077968
8.1552091,0.45112624,79.898469,0.7112255,9.3617458,0.048975942,4.6199647,0.012103032,0.007316653,2596.8567,129.35385,3680.4039,211.84934,1.0582787,0.30682225,-0.024840701,310.08286,-3.4112493,265.74311,-46.969402
8.5187893,0.42612096,79.890418,0.80783485,9.9581416,0.055505546,4.8418265,0.013644164,0.0082508567,2571.5612,163.68065,3695.3474,272.19703,1.0230044,0.31087861,-0.025107758,326.36246,-3.5762534,283.6992,-46.813025
8.8789621,0.39443731,79.882276,0.91030635,10.533473,0.06245276,5.0636509,0.015289425,0.0092480263,2546.4888,199.69963,3706.6526,337.98907,0.98465515,0.31512233,-0.025345761,342.40726,-3.8094415,301.60096,-46.625316
9.2355835,0.35645062,79.874034,1.018421,11.085865,0.069815284,5.2854362,0.01703394,0.01031086,2521.7151,237.81953,3714.276,409.85574,0.94298521,0.31960196,-0.025558066,358.08173,-4.1054887,319.43857,-46.408551
9.5885108,0.31256964,79.86568,1.1319412,11.613491,0.077590955,5.5071808,0.018879822,0.011440444,2497.3306,277.7096,3718.6876,487.48187,0.89829055,0.32431298,-0.02574823,373.4153,-4.4595362,337.18505,-46.1675
9.9376028,0.26322369,79.8572,1.250612,12.114857,0.085777769,5.7288829,0.02082586,0.01263602,2473.5571,318.40716,3720.9314,568.7976,0.85184434,0.32917248,-0.025922286,388.39592,-4.8602926,354.82408,-45.910514
10.28272,0.20880305,79.848584,1.3741691,12.589444,0.094373866,5.950541,0.022871223,0.013897576,2450.3422,358.80929,3721.6795,653.30261,0.80442101,0.33413424,-0.026047993,403.00603,-5.2461653,372.36752,-44.934145
10.623724,0.14975291,79.839815,1.5023415,13.036322,0.10337755,6.1721533,0.02501639,0.015224828,2427.8141,399.89808,3721.6909,742.12555,0.75521254,0.33933627,-0.026196128,417.28345,-5.5951046,389.84454,-44.706944
10.960479,0.086537415,79.83087,1.6348488,13.454678,0.11278733,6.3937184,0.027261488,0.016617599,2405.9864,440.92972,3721.2189,832.88007,0.70554616,0.34464555,-0.026339767,431.25163,-6.0437688,407.2584,-44.504815
11.292849,0.019526204,79.821733,1.7714086,13.845056,0.12260192,6.6152345,0.029607188,0.018075681,2384.8638,479.72898,3720.2703,923.50722,0.65696802,0.34986635,-0.026470706,444.94516,-6.491318,424.59489,-44.297069
11.620703,-0.050869752,79.812389,1.9117429,14.207355,0.13282009,6.8367003,0.032054237,0.019600709,2364.4404,518.49842,3718.7544,1016.9215,0.6075664,0.35523114,-0.026585961,458.39917,-6.9450265,441.87531,-44.067739
11.943909,-0.1242265,79.802829,2.05557,14.541343,0.1434408,7.058114,0.034603123,0.021194179,2344.7093,556.05299,3716.641,1109.4967,0.55916343,0.36051655,-0.026676654,471.69693,-7.4053075,459.17277,-43.812327
12.262337,-0.20025149,79.793048,2.2026145,14.848487,0.15446307,7.2794744,0.037252802,0.022855041,2325.608,590.55226,3713.9842,1200.0064,0.51295512,0.36558143,-0.026718351,484.93209,-7.8190664,476.53431,-43.220755
12.57586,-0.27858207,79.783048,2.3526118,15.129108,0.16588597,7.5007801,0.040003562,0.02458458,2307.1497,624.59353,3710.9732,1291.8627,0.46657639,0.37071201,-0.026741189,498.04527,-8.2108925,493.93768,-42.775605
12.884354,-0.3588632,79.772823,2.5052978,15.383593,0.17770869,7.7220297,0.042856035,0.026383573,2289.3125,656.16239,3707.7727,1379.4617,0.42291451,0.37556253,-0.026735197,511.06732,-8.4689603,511.42133,-42.450743
13.187693,-0.44087806,79.76237,2.6604227,15.614002,0.18993046,7.943222,0.045811827,0.028251934,2272.0511,684.99649,3704.4403,1464.622,0.38140982,0.38020589,-0.02669965,524.03323,-8.7416313,528.99507,-42.119051
13.485758,-0.52430434,79.75169,2.8177492,15.820712,0.20255055,8.1643559,0.048846554,0.030167586,2255.4513,713.25167,3701.0571,1550.0168,0.34019334,0.38486641,-0.026662831,536.71864,-9.0143306,546.27599,-41.758306
13.778429,-0.60887871,79.740762,2.9770436,16.00472,0.21556831,8.3854302,0.051902494,0.032081297,2239.5963,737.98987,3697.5391,1628.1058,0.30296015,0.38904354,-0.02668155,548.59072,-9.2556855,562.43435,-41.362726
14.065588,-0.6944492,79.729556,3.138091,16.167986,0.22898304,8.6064438,0.054940241,0.033965571,2224.5673,760.95528,3693.6549,1704.3649,0.26702491,0.3930561,-0.026779891,559.39025,-9.4403069,577.08767,-40.863388
14.347122,-0.78074545,79.718037,3.300686,16.310797,0.24279402,8.8273953,0.057934133,0.035807224,2210.4454,783.40379,3689.7865,1780.0219,0.23155926,0.39703678,-0.026969359,569.03761,-9.5941978,590.22517,-40.279589
14.622917,-0.86756264,79.706166,3.4646294,16.434786,0.25700063,9.0482837,0.060861716,0.037593588,2200.6044,801.72699,3691.0032,1846.3537,0.20235859,0.40081003,-0.027276487,578.36956,-9.6920338,602.62537,-39.78085
14.892862,-0.95457435,79.693891,3.6297507,16.54299,0.27160277,9.2691074,0.063688875,0.03929707,2194.4559,819.3144,3698.0562,1911.407,0.17544335,0.40490593,-0.027721117,587.13572,-9.6645825,614.18856,-39.302098
15.156851,-1.0415617,79.68117,3.7958955,16.635931,0.2866011,9.4898648,0.06641545,0.040924317,2188.851,836.1957,3704.8094,1974.7304,0.1492736,0.40887062,-0.028263616,594.6811,-9.6266412,624.18729,-38.788519
15.414778,-1.128457,79.667973,3.9629168,16.715143,0.30199624,9.7105543,0.069044954,0.042483816,2183.7408,849.32197,3711.232,2029.0204,0.12733036,0.41222465,-0.028881868,601.16056,-9.5544483,632.87062,-38.282192
15.666538,-1.2151987,79.654275,4.1306859,16.78193,0.31778867,9.9311742,0.071582514,0.043983133,2179.1031,862.13833,3717.2478,2081.9573,0.10589375,0.41548166,-0.029561006,606.72912,-9.4545219,640.44017,-37.776266
15.912032,-1.3016501,79.640058,4.2990796,16.836594,0.33397886,10.151723,0.074031798,0.045428762,2174.9267,874.1819,3722.7619,2133.4578,0.085156366,0.41861422,-0.030282784,611.51423,-9.3366162,647.05758,-37.199225
16.151162,-1.3877696,79.625311,4.4679811,16.880451,0.35056729,10.372198,0.076397077,0.046825669,2171.1909,883.36299,3727.6974,2176.4924,0.068105454,0.42119821,-0.031036006,615.63127,-9.1944898,652.84958,-36.654823
16.383831,-1.4735307,79.610025,4.6372897,16.91472,0.36755426,10.592599,0.078682688,0.048178722,2167.8853,892.47642,3732.0078,2217.808,0.051599739,0.42367504,-0.031812606,619.18532,-9.0344958,657.93331,-36.149732
16.609947,-1.5588342,79.594197,4.80691,16.93967,0.38494012,10.812923,0.08089152,0.049492093,2165.0028,901.22582,3735.6746,2257.6182,0.035676548,0.42604175,-0.032600858,622.25967,-8.8552788,662.41006,-35.635206
16.82942,-1.6436376,79.577827,4.9767511,16.956172,0.40272523,11.033169,0.083026441,0.050768696,2162.5223,907.68863,3738.6971,2291.4811,0.022415575,0.42800448,-0.033391964,624.92482,-8.6601631,666.35905,-35.128903
17.04216,-1.7279473,79.560917,5.1467348,16.965466,0.42090987,11.253334,0.085090562,0.052011063,2160.424,914.30183,3741.0768,2322.242,0.010091768,0.42980857,-0.034182488,627.2454,-8.4634605,669.84818,-34.655256
17.248085,-1.8116944,79.543472,5.3167892,16.967805,0.43949432,11.473418,0.087085725,0.053221569,2158.6943,921.08985,3742.8087,2351.6378,-0.0018652829,0.4315361,-0.034965734,629.27137,-8.2680456,672.93626,-34.178994
17.44711,-1.8948281,79.5255,5.4868454,16.963612,0.45847892,11.693419,0.089013496,0.054401871,2157.3084,925.94706,3743.8932,2378.3347,-0.012343208,0.43302796,-0.035735774,631.04238,-8.0723934,675.66961,-33.701855
17.639156,-1.977363,79.507008,5.6568418,16.953952,0.477864,11.913334,0.090875795,0.055553012,2156.236,931.02426,3744.3436,2400.1702,-0.021335676,0.43428397,-0.036489113,632.59436,-7.8763679,678.08585,-33.238468
17.824147,-2.0592664,79.488007,5.8267251,16.939204,0.49764985,12.133163,0.092673981,0.056676238,2155.4555,936.39468,3744.1827,2420.9335,-0.030108579,0.43548401,-0.037224092,633.95743,-7.6819569,680.22367,-32.799966
18.002009,-2.1404917,79.468509,5.9964438,16.919558,0.51783679,12.352903,0.094408853,0.057772256,2154.9422,940.85856,3743.4468,2440.7376,-0.038308325,0.43657917,-0.037936887,635.15362,-7.4904527,682.11527,-32.370908
18.17267,-2.2210196,79.448526,6.1659496,16.895479,0.5384252,12.572553,0.096081341,0.058841283,2154.6656,945.06323,3742.1927,2457.2688,-0.045384305,0.4374943,-0.038625015,636.20151,-7.3051043,683.78919,-31.953691
18.336062,-2.3008534,79.428072,6.3352005,16.867634,0.5594154,12.792112,0.097692592,0.059882902,2154.5981,949.59509,3740.6321,2471.4342,-0.051803852,0.43830779,-0.039288764,637.11925,-7.1177793,685.29372,-31.565901
18.49212,-2.3799531,79.40716,6.5041585,16.836134,0.58080773,13.011577,0.099242712,0.060896769,2154.8527,954.14847,3738.6577,2485.0528,-0.058056188,0.43909066,-0.039925985,637.95751,-6.9366769,686.61864,-31.18707
18.640782,-2.4582868,79.385805,6.6727868,16.801194,0.60260258,13.230947,0.10073095,0.061882638,2155.3654,957.84149,3736.332,2498.281,-0.063910152,0.43980965,-0.040535664,638.70785,-6.7638281,687.78547,-30.818755
18.781987,-2.5358268,79.364022,6.8410507,16.76301,0.62480032,13.450221,0.10215799,0.062839984,2156.0088,961.82097,3733.7227,2509.215,-0.069130959,0.44042723,-0.04111678,639.35041,-6.6008946,688.81252,-30.464113
18.91568,-2.6125694,79.341825,7.0089193,16.722004,0.64740131,13.669396,0.10352469,0.063767947,2156.7613,966.03899,3730.8974,2518.8035,-0.074014391,0.44098767,-0.041669498,639.89617,-6.4441663,689.714,-30.138619
19.041807,-2.6884795,79.319231,7.1763637,16.678212,0.67040589,13.888472,0.10483145,0.06466572,2157.6075,969.87904,3727.9188,2528.3238,-0.078766113,0.44152412,-0.042192613,640.35369,-6.2941174,690.50329,-29.821641
19.160317,-2.7635295,79.296255,7.3433562,16.631758,0.69381438,14.107446,0.10607862,0.065532302,2158.5326,973.34627,3724.8471,2537.8371,-0.083398,0.44204207,-0.04268618,640.73017,-6.1526814,691.19108,-29.518322
