delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-0.045882419,110.00684,-0.00092797741,-0.31641701,-6.8381e-05,0.2444657,0.0031479491,0.0026935818,-2702.1738,1.1693678,-2889.5031,1.1770174,-1.0794256,-0.25799367,-0.045029272,197.75135,-33.187857,181.10967,-15.744458
-10,-0.13333263,109.98588,-0.0074514508,-1.0022027,-0.00055558031,0.55001531,0.00095457662,0.0012487694,-3201.8807,8.2704938,-3278.6311,8.0781442,-1.2385538,-0.29539586,-0.06616129,35.125305,-39.048713,47.022166,-6.6928284
-10,-0.21052583,109.96228,-0.021023427,-1.7114318,-0.0015655204,0.85549964,0.00074260426,0.0014709819,-3277.6806,19.337303,-3176.666,17.973083,-1.2325149,-0.29297057,-0.066854763,21.343633,-40.506389,40.961883,-3.4546073
-10,-0.27298007,109.93922,-0.041655663,-2.4136475,-0.0030865543,1.1609169,0.0016667858,0.0027975011,-3325.5977,30.334925,-3051.4664,26.309899,-1.2191229,-0.28881945,-0.064228107,42.156083,-41.811468,64.908867,-2.3591047
-10,-0.32105168,109.9173,-0.069274425,-3.108979,-0.0050983791,1.4662697,0.0031717722,0.004746562,-3375.3657,37.652084,-2943.2329,30.303619,-1.208365,-0.28607833,-0.060820837,74.972455,-43.238806,97.814678,-1.8594713
-10,-0.35536814,109.89666,-0.10381683,-3.7983694,-0.0075821036,1.7715615,0.0049361394,0.007032529,-3423.0749,38.537184,-2852.4041,28.79568,-1.19782,-0.28466459,-0.057193752,112.59791,-44.554345,133.64384,-1.6585258
-10,-0.37641397,109.87736,-0.14522099,-4.4810721,-0.010521671,2.0767958,0.0067603564,0.0094622473,-3461.6218,31.30501,-2775.5834,21.574075,-1.1846165,-0.28413682,-0.053543353,151.29739,-45.540863,169.74504,-1.6936509
-10,-0.38455936,109.85938,-0.19341017,-5.1550365,-0.013903724,2.3819762,0.0085278707,0.011905057,-3486.9712,15.433947,-2710.3279,8.8471535,-1.1671639,-0.28418419,-0.049983371,188.72615,-46.036964,204.70353,-1.9226472
-10,-0.38014588,109.84267,-0.24828379,-5.8177156,-0.017717143,2.687106,0.010175112,0.014271086,-3499.894,-8.2913625,-2654.9685,-9.0273148,-1.145243,-0.28469512,-0.046642388,223.47448,-46.825926,237.65141,-2.2935234
-10,-0.36357851,109.82712,-0.30971571,-6.4665824,-0.021952661,2.9921878,0.01167185,0.016503044,-3505.6703,-40.843359,-2608.1823,-31.643522,-1.119104,-0.28586822,-0.043585538,255.00269,-47.722522,268.09114,-2.7570663
-10,-0.33539036,109.81262,-0.37755623,-7.099553,-0.026602791,3.297224,0.013003684,0.018568557,-3511.378,-81.745764,-2568.1312,-58.587219,-1.0898894,-0.28789878,-0.040824875,283.34634,-47.895392,295.70783,-3.2736133
-10,-0.2962018,109.79904,-0.45163796,-7.7150923,-0.031661842,3.6022161,0.014163741,0.020454738,-3522.1921,-130.52113,-2533.8005,-89.433484,-1.0584082,-0.29093525,-0.038426698,308.70873,-48.254578,320.44269,-3.8032586
-10,-0.24669876,109.7862,-0.53178048,-8.3120395,-0.037125853,3.9071653,0.015152375,0.022159409,-3539.1698,-187.00276,-2504.564,-123.7478,-1.0249745,-0.29496975,-0.036380434,331.16776,-48.651839,342.3702,-4.3229655
-10,-0.18755407,109.77398,-0.6177922,-8.8892073,-0.042992355,4.2120721,0.01597975,0.023688683,-3559.7716,-250.79181,-2479.2954,-161.06099,-0.98929211,-0.29979401,-0.03465099,350.6549,-48.933155,361.57112,-4.8295613
-10,-0.11936706,109.76225,-0.70946935,-9.445369,-0.049259911,4.5169368,0.016665684,0.025054134,-3580.2146,-320.00285,-2457.0035,-200.09524,-0.95159789,-0.30504373,-0.033195706,367.12992,-49.05791,378.17573,-5.3258687
-10,-0.042677449,109.75088,-0.80659566,-9.979095,-0.055927643,4.8217594,0.017235832,0.026270962,-3597.8354,-395.36683,-2436.8798,-241.25438,-0.91092118,-0.31061512,-0.031974028,380.76217,-49.064302,392.3606,-5.8210784
-10,0.041973591,109.73979,-0.90893863,-10.48865,-0.062994969,5.1265396,0.017715555,0.027356326,-3612.1888,-476.68255,-2418.3226,-284.1573,-0.86726299,-0.31643777,-0.030952326,391.95932,-49.018192,404.34135,-6.3233707
-10,0.13403182,109.72887,-1.0162491,-10.972536,-0.070461507,5.4312769,0.018125002,0.028328155,-3624.6574,-562.09555,-2400.9296,-327.44036,-0.82189575,-0.32241291,-0.030104432,401.24816,-48.970498,414.36391,-6.8298382
-10,0.23296884,109.71804,-1.1282684,-11.430298,-0.078327057,5.7359707,0.018477454,0.029204035,-3637.1744,-650.83909,-2384.4649,-370.70673,-0.77566093,-0.32856947,-0.029356661,409.10288,-47.909934,422.68938,-7.2058913
-10,0.33818204,109.70723,-1.2447326,-11.861076,-0.086591657,6.0406202,0.018781908,0.029999791,-3650.971,-744.19009,-2368.811,-414.5969,-0.72780601,-0.33505058,-0.028788791,415.8498,-47.824104,429.56787,-7.5572999
-10,0.4490582,109.69635,-1.365369,-12.264284,-0.095255653,6.3452243,0.019045347,0.030728956,-3666.0535,-838.8985,-2353.9036,-457.4509,-0.68029115,-0.34162868,-0.028345585,421.64413,-47.809379,435.22255,-7.9893526
-10,0.56509716,109.68535,-1.4899069,-12.64069,-0.10431958,6.6497818,0.019274879,0.031403405,-3681.4842,-934.10383,-2339.6746,-498.8105,-0.6334374,-0.34819822,-0.027997701,426.5394,-47.741446,439.84943,-8.4116426
-10,0.68574824,109.67416,-1.6180789,-12.989961,-0.11378407,6.9542917,0.019479205,0.032032675,-3696.1519,-1032.3775,-2326.0649,-540.07196,-0.58557162,-0.35489064,-0.027726126,430.60382,-47.613996,443.60835,-8.8277757
-10,0.81049966,109.66275,-1.7496133,-13.312112,-0.12364979,7.2587526,0.019666446,0.032624695,-3709.4329,-1128.1822,-2313.0067,-578.48417,-0.5397378,-0.3612921,-0.027512523,433.95142,-47.445327,446.63212,-9.2213917
-10,0.93895652,109.65107,-1.8842478,-13.608437,-0.13391737,7.5631634,0.019843031,0.033186953,-3721.4026,-1224.2089,-2300.4444,-615.20392,-0.49453151,-0.36758358,-0.027318217,436.74302,-46.697728,449.04684,-9.5653913
-10,1.070616,109.6391,-2.0217248,-13.878691,-0.14458737,7.8675227,0.020013455,0.033724826,-3732.6015,-1321.6828,-2288.3656,-651.41802,-0.4489321,-0.37390258,-0.027173307,439.17177,-46.321758,450.97846,-9.7785992
-10,1.2050792,109.62681,-2.1617883,-14.124118,-0.15566038,8.1718294,0.020179224,0.034243153,-3743.5965,-1412.3079,-2276.7474,-682.86199,-0.40783337,-0.37969344,-0.027062547,441.33286,-46.040836,452.49354,-9.9357178
-10,1.3419748,109.61417,-2.3042005,-14.346032,-0.16713691,8.4760821,0.020341564,0.034746381,-3754.6176,-1503.8387,-2265.6021,-713.61148,-0.36680978,-0.38551559,-0.026980543,443.29305,-45.734166,453.67935,-10.099605
-10,1.4808623,109.60117,-2.4487278,-14.544696,-0.17901757,8.7802796,0.020501458,0.035237045,-3765.5248,-1591.9799,-2254.9465,-742.23049,-0.32791431,-0.39109825,-0.026919307,445.06924,-45.371027,454.59594,-10.255675
-10,1.6214804,109.58778,-2.5951492,-14.722326,-0.19130291,9.0844207,0.020659601,0.035717731,-3775.9801,-1675.2071,-2244.8033,-767.28942,-0.29215356,-0.39629042,-0.026872661,446.64941,-44.984269,455.30451,-10.363126
-10,1.7634813,109.574,-2.74326,-14.879517,-0.20399343,9.3885042,0.020818044,0.036190017,-3785.6554,-1758.6372,-2235.165,-791.7968,-0.25656058,-0.40145297,-0.026826359,448.04988,-44.318224,455.84369,-10.442069
-10,1.9065627,109.55981,-2.8928591,-15.017156,-0.21708964,9.6925289,0.02097858,0.036654795,-3794.0411,-1834.3632,-2226.0303,-812.66225,-0.22477712,-0.40605333,-0.026792913,449.25939,-43.818362,456.24374,-10.488865
-10,2.0505414,109.54522,-3.0437631,-15.137193,-0.23059186,9.9964938,0.021142311,0.037113577,-3801.6485,-1907.96,-2217.4168,-831.87235,-0.19428915,-0.41046651,-0.026763599,450.37132,-43.375221,456.54495,-10.429676
-10,2.1951084,109.53021,-3.1957981,-15.239903,-0.24450039,10.300398,0.021309726,0.03756651,-3808.6671,-1979.2521,-2209.3361,-850.35138,-0.16487606,-0.41473648,-0.026738567,451.42616,-42.903414,456.76703,-10.37892
-10,2.3400975,109.51479,-3.3487985,-15.327136,-0.25881556,10.60424,0.021480061,0.038014185,-3815.2155,-2042.0652,-2201.7775,-864.8501,-0.13970128,-0.41843199,-0.026715486,452.42982,-42.444651,456.93068,-10.313999
-10,2.4853223,109.49895,-3.5026179,-15.400068,-0.27353754,10.908019,0.021653444,0.038457078,-3821.2841,-2104.0034,-2194.7611,-879.15203,-0.11495583,-0.42208068,-0.026695926,453.3906,-41.991598,457.05932,-10.239577
-10,2.630548,109.4827,-3.6571147,-15.459164,-0.28866662,11.211733,0.021829827,0.038894614,-3826.7869,-2161.2539,-2188.3008,-891.74572,-0.092396546,-0.42543263,-0.026671962,454.30331,-41.426679,457.16172,-10.155967
-10,2.7756902,109.46603,-3.81216,-15.506357,-0.30420303,11.515384,0.022008908,0.039327038,-3831.6357,-2212.8747,-2182.3621,-902.24651,-0.072405543,-0.42842067,-0.026651438,455.15772,-40.961156,457.24645,-10.055569
-10,2.9205787,109.44896,-3.9676382,-15.542207,-0.32014698,11.818968,0.022191364,0.039754186,-3835.7001,-2263.3384,-2176.9421,-912.76672,-0.052801084,-0.43134343,-0.026631761,455.95691,-40.52145,457.32163,-9.9482951
-10,3.0650624,109.43147,-4.1234376,-15.567387,-0.33649871,12.122485,0.022377319,0.040175467,-3838.9503,-2307.6874,-2172.0399,-921.08144,-0.035919495,-0.43386698,-0.026607384,456.70441,-40.08113,457.39094,-9.8059335
-10,3.2090975,109.41359,-4.2794597,-15.583526,-0.35325845,12.425935,0.022566773,0.040591193,-3841.4424,-2348.2949,-2167.604,-928.73476,-0.02048054,-0.43617288,-0.026582222,457.41112,-39.676594,457.4572,-9.6661177
-10,3.352545,109.39531,-4.4356154,-15.590924,-0.37042641,12.729317,0.022760006,0.041001032,-3843.1586,-2387.5757,-2163.6191,-936.59253,-0.0054058361,-0.43841138,-0.026555078,458.08334,-39.272062,457.52182,-9.5315455
-10,3.4953161,109.37665,-4.5918187,-15.590374,-0.38800289,13.03263,0.022956817,0.041404652,-3844.0942,-2420.5826,-2160.0843,-942.14863,0.0068813945,-0.44023719,-0.026521966,458.71938,-38.848005,457.58945,-9.3946786
