delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19999667,0.00026557235,109.99421,3.0582607e-06,0.0017658424,2.3013784e-07,0.24443914,-8.4161993e-05,-8.6540984e-05,32.877923,-0.0011038962,32.788745,-0.0074715184,0.012103825,0.003035449,-0.020460478,-13.414955,-21.744431,-13.774536,-21.861051
0.39997333,0.0027741436,109.98798,8.753222e-05,0.019170225,6.6406834e-06,0.54997323,0.00038751556,0.00038050482,141.47242,-0.10557026,141.06897,-0.1188699,0.052262989,0.013096936,-0.014253463,61.596624,-28.180481,60.36725,-29.064017
0.59991,0.0089830515,109.98398,0.00047817665,0.064584897,3.6317758e-05,0.85549688,0.00082466729,0.00080840298,292.48259,-0.53980497,291.85381,-0.54610667,0.10824792,0.027088942,-0.0083198848,130.32945,-29.676303,127.60342,-31.939725
0.79978668,0.019267411,109.98173,0.0014920578,0.14453286,0.00011313822,1.1610162,0.0011268632,0.0010973802,462.19396,-1.4733645,462.32286,-1.4358328,0.17146347,0.042817719,-0.0044400971,176.89069,-29.856081,172.49908,-33.915898
0.99958339,0.033335533,109.9805,0.0034899925,0.26179068,0.00026392961,1.4665352,0.0013104532,0.0012600288,640.73712,-2.9499887,643.78038,-2.8269236,0.23840203,0.059407873,-0.0024507968,203.94391,-29.416331,197.31729,-35.541938
1.1992801,0.050661293,109.97967,0.0068539233,0.4177918,0.00051655303,1.7720555,0.0014397929,0.0013595071,818.53396,-4.8731281,828.14497,-4.611894,0.30577364,0.076036681,-0.0023413645,211.41917,-28.543797,202.55039,-36.92333
1.3988569,0.070463716,109.97875,0.011969877,0.61229237,0.00089838366,2.0775769,0.0015933293,0.0014720666,994.40897,-7.0095202,1015.4499,-6.5565012,0.37323186,0.092685955,-0.0026795488,215.06087,-27.391012,203.59771,-38.138874
1.5982939,0.09193262,109.97766,0.019221858,0.84479194,0.001435885,2.3830983,0.0017062841,0.0015359836,1159.2652,-9.0259096,1197.7153,-8.3354656,0.43793332,0.10859657,-0.0033908251,215.68284,-26.120404,201.37957,-39.302919
1.797571,0.11420786,109.97627,0.028982396,1.114147,0.0021539735,2.6886183,0.0017831586,0.0015569303,1320.0144,-10.528177,1382.88,-9.5422495,0.50197896,0.1244899,-0.0044484882,213.62146,-24.756351,196.23285,-40.406439
1.9966683,0.1364144,109.97444,0.041615238,1.4190512,0.0030763611,2.9941352,0.0018765273,0.0015825168,1466.8373,-11.103838,1560.419,-9.7289199,0.56239237,0.13946073,-0.0060273385,206.65914,-23.319449,186.62795,-41.412938
2.195566,0.15781808,109.97209,0.057469176,1.7585112,0.0042252342,3.2996468,0.0020004668,0.0016294428,1607.7484,-10.354584,1740.2882,-8.4229467,0.62150835,0.15439685,-0.0074076705,202.83654,-21.861174,180.07789,-42.384049
2.3942441,0.1775615,109.96929,0.076881394,2.1306512,0.0056217656,3.6051511,0.0021357542,0.0016720642,1739.0958,-7.930703,1916.9649,-5.1661711,0.6776551,0.16891211,-0.0087375109,201.0924,-20.44644,174.85656,-43.332812
2.5926829,0.19501121,109.96605,0.10017324,2.5343286,0.007286003,3.9106461,0.0022839607,0.0017175615,1859.0851,-3.5479452,2090.1246,0.46831712,0.73010224,0.18293585,-0.010133985,199.31033,-19.058658,170.02258,-44.291459
2.7908623,0.20938391,109.96233,0.12764664,2.967132,0.0092368451,4.2161301,0.0024735509,0.0017917253,1972.4001,3.01812,2263.6341,8.9462308,0.78005129,0.19690141,-0.01148498,198.95636,-17.760771,166.8753,-45.300426
2.9887626,0.21997454,109.95819,0.15958246,3.4264231,0.011492195,4.521601,0.0026988117,0.0018830045,2070.4619,12.048421,2425.05,20.849934,0.82301871,0.20988239,-0.012667931,201.205,-16.547122,165.97302,-46.259648
3.1863641,0.22616153,109.95367,0.19623054,3.9094105,0.014068499,4.8270573,0.0029511434,0.0019899785,2157.7182,23.640848,2581.2952,36.618743,0.86082156,0.22242521,-0.013788798,204.23367,-15.346381,166.39194,-47.009306
3.383647,0.22724644,109.94879,0.23780808,4.4122473,0.016980835,5.1324974,0.003247175,0.0021285604,2235.3131,37.834319,2730.6902,56.485856,0.8933417,0.2345221,-0.014815722,208.50219,-14.257009,168.58048,-47.611539
3.5805915,0.22263248,109.94359,0.28449652,4.931103,0.020242838,5.4379197,0.0035894461,0.0022898554,2299.0226,54.6656,2864.6124,80.68955,0.91751768,0.24559569,-0.015685245,214.73394,-13.305053,172.37741,-48.155278
3.7771779,0.21183828,109.93812,0.3364369,5.4622965,0.023866485,5.7433228,0.003971666,0.0024749134,2351.04,74.13273,2988.0447,109.4875,0.93481555,0.25598659,-0.016477928,221.56759,-12.47059,177.23,-48.656033
3.9733866,0.19439391,109.93239,0.39373061,6.0016532,0.027862228,6.048705,0.00439772,0.0026949016,2394.3105,96.196334,3101.4046,143.11448,0.94607788,0.26586366,-0.017158112,229.27711,-11.753305,183.7449,-49.095999
4.169198,0.16993653,109.92644,0.45644013,6.5451621,0.032239126,6.354065,0.0048747406,0.002942377,2429.209,120.78273,3203.1135,181.76269,0.95066307,0.27517858,-0.017723473,238.23705,-11.159616,191.45465,-49.466656
4.3645925,0.13824087,109.92029,0.52458945,7.089208,0.037004898,6.6594013,0.0054006134,0.0032173504,2453.4886,147.78876,3291.114,225.57854,0.94775,0.28373102,-0.018210629,247.48411,-10.677791,199.68643,-49.763282
4.5595505,0.099152041,109.91396,0.59816537,7.6302398,0.042166007,6.9647124,0.0059719322,0.0035266911,2470.1855,176.97941,3370.3445,274.15073,0.93943728,0.29186344,-0.018600285,257.15038,-10.300156,209.16451,-49.994511
4.7540525,0.052577912,109.90745,0.67712132,8.1650626,0.047727833,7.2699968,0.0065984664,0.0038664668,2481.387,207.69612,3441.1678,327.46447,0.9261459,0.29965775,-0.01892146,267.39429,-10.017981,219.34559,-50.170796
