delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9966683,0.0020430624,79.996711,2.3681576e-05,0.013517847,1.8035112e-06,0.17777462,0.00010533089,8.5488589e-05,248.96162,-0.032219773,245.6766,-0.037807247,0.091475122,0.022920415,-0.010403882,16.873007,-22.184837,13.523966,-23.300152
3.9733866,0.021459163,79.993618,0.00066642438,0.14588033,5.0952109e-05,0.39998524,0.00071227495,0.00066448266,1082.6168,-0.91106852,1060.2684,-0.92989858,0.39701814,0.09942339,-0.0086816098,98.119385,-23.226681,89.638686,-30.958749
5.9104041,0.068390908,79.989686,0.0036141343,0.48230708,0.00027605664,0.62218845,0.0017005064,0.0015831946,2081.8679,-4.5042139,2043.9363,-4.576367,0.77832359,0.19099981,-0.014575076,160.27116,-17.867772,146.54952,-36.119408
7.7883668,0.13819067,79.982794,0.010986644,1.0227398,0.0008344184,0.84437782,0.0034692214,0.0030812388,2815.7188,-12.111101,2809.5913,-12.443069,1.0805926,0.25948111,-0.024782361,217.57623,-11.211355,193.01571,-40.054402
9.5885108,0.21662338,79.972375,0.024476495,1.689173,0.0018427686,1.0665426,0.005884248,0.0051694471,3108.0055,-22.691515,3196.1869,-24.297373,1.2206179,0.28945996,-0.034065087,260.14021,-6.0192735,235.20992,-42.058933
11.292849,0.29131787,79.959247,0.044916874,2.4026568,0.003350352,1.2886729,0.0091690281,0.0079549985,3128.3703,-33.66313,3345.8007,-38.136068,1.2584917,0.29586417,-0.040477635,299.76046,-2.9052819,278.28765,-42.757985
12.884354,0.35649268,79.944315,0.072551084,3.123839,0.0053612691,1.5107618,0.013430917,0.011504131,3043.0079,-42.406625,3397.9302,-50.993552,1.2547565,0.29316969,-0.044796608,337.62687,-1.0759043,323.0179,-42.963058
14.347122,0.41035351,79.928173,0.10736852,3.8378093,0.007860664,1.7328047,0.018676685,0.015783706,2929.7424,-47.07465,3413.5117,-59.848469,1.23587,0.28801371,-0.047795884,373.50391,0.067441013,367.82199,-42.949222
15.666538,0.45265974,79.911195,0.14926409,4.5387929,0.010828177,1.9547986,0.024706541,0.020590468,2817.0355,-46.712734,3410.4705,-62.296473,1.2100895,0.28263339,-0.050030972,405.17304,0.80137717,408.81072,-42.710234
16.82942,0.48366415,79.893596,0.19809076,5.2235929,0.014243137,2.176741,0.031158064,0.025604928,2714.2683,-41.008064,3392.9983,-56.936673,1.1795753,0.27767206,-0.051794296,431.08262,1.2549072,442.79344,-42.219404
17.824147,0.50378966,79.875529,0.25367389,5.8897851,0.018086289,2.3986296,0.037710655,0.03057794,2623.9592,-30.009683,3364.319,-43.309775,1.1453246,0.27338511,-0.053178123,451.07503,1.4894333,468.86728,-41.557374
18.640782,0.51377403,79.85709,0.31582022,6.5368614,0.022340538,2.6204625,0.0440543,0.035266803,2561.7658,-13.941385,3353.2939,-21.47616,1.1155098,0.27180832,-0.054507682,468.39309,1.6139749,490.69288,-40.808986
19.271164,0.51485462,79.838263,0.38435636,7.1678693,0.02699366,2.8422374,0.049889696,0.039416049,2516.022,6.86322,3353.3991,7.5592904,1.086711,0.27202468,-0.055722492,481.75059,1.7331973,507.1494,-40.638603
19.708995,0.50762995,79.819111,0.45911774,7.7817128,0.032037186,3.0639519,0.055032021,0.042872903,2476.1314,32.010546,3360.3401,45.237263,1.0557386,0.27341023,-0.056643092,490.36237,1.7733628,518.30757,-40.725026
19.9499,0.49275606,79.799743,0.5399281,8.3774074,0.037464677,3.2856035,0.059344955,0.045513724,2441.1011,61.084354,3376.5185,90.98943,1.0233463,0.2760028,-0.057193133,495.00374,1.7171638,525.02435,-40.341352
19.991472,0.47086718,79.780281,0.62660283,8.954105,0.043271552,3.5071901,0.062736712,0.04726823,2410.4057,93.637704,3398.9506,144.1696,0.98942693,0.27961122,-0.057313991,496.43285,1.558685,527.41032,-40.141034
19.833296,0.44254129,79.760883,0.71894864,9.5108666,0.049454652,3.7287101,0.06516105,0.048135754,2383.7512,129.21644,3422.4559,204.27792,0.95368546,0.28396374,-0.056882547,495.38946,1.2776813,525.49168,-39.971275
19.476953,0.40827813,79.74175,0.81676192,10.046566,0.056011814,3.9501623,0.066625671,0.048178954,2360.2943,167.13437,3443.1128,270.48857,0.91602535,0.2887959,-0.055784319,492.52923,0.85074444,519.74734,-39.857259
18.926002,0.36850691,79.723114,0.91982846,10.560314,0.062941545,4.1715465,0.067190238,0.047504416,2339.2783,206.59101,3460.0141,341.43186,0.87698517,0.29395124,-0.0539358,488.58052,0.26790049,511.25705,-39.888542
18.185949,0.32366677,79.705231,1.0279256,11.051236,0.070242906,4.3928633,0.066956872,0.046241396,2320.1242,247.84269,3474.7116,417.8187,0.83644608,0.29953078,-0.051281013,484.36202,-0.47637477,501.46452,-40.107858
17.264187,0.27423272,79.68837,1.1408224,11.518654,0.077915603,4.6141141,0.066058376,0.044527962,2302.447,290.4872,3489.7808,499.2186,0.79505314,0.30559707,-0.047775982,480.79137,-1.3877343,491.90086,-40.516189
16.169928,0.22067957,79.672821,1.2582834,11.962501,0.085960076,4.835301,0.064645023,0.042503635,2286.0111,332.75786,3506.8745,582.7728,0.75465689,0.31198986,-0.043357453,478.88966,-2.4586386,483.94553,-40.907129
14.914104,0.16342676,79.658905,1.3800774,12.383469,0.09437745,5.0564274,0.062870616,0.04030534,2270.6595,375.45606,3525.9234,668.97326,0.71474225,0.31873524,-0.037944581,479.7919,-3.6136168,478.83467,-41.165503
13.509264,0.1029084,79.646958,1.5059761,12.781493,0.10316946,5.2774975,0.060877654,0.038060892,2256.2336,418.77987,3545.5218,758.42043,0.6745648,0.32576143,-0.031490036,484.76548,-4.9449,477.82991,-42.10842
11.969443,0.039484559,79.637354,1.6357495,13.156689,0.11233827,5.4985167,0.058783563,0.035875711,2242.499,460.53294,3563.9121,847.70796,0.63573534,0.33266609,-0.023872567,495.25883,-6.4717855,482.38869,-43.264908
10.310027,-0.026626021,79.630502,1.7691741,13.50995,0.1218862,5.7194917,0.056666675,0.033817193,2229.0915,501.63936,3579.8851,937.22646,0.59717862,0.33937006,-0.014986199,512.98128,-8.1837076,494.28204,-44.645888
8.5475976,-0.095160209,79.626856,1.9060274,13.84085,0.13181551,5.9404307,0.054546271,0.031896483,2219.8708,542.93887,3601.2915,1028.9372,0.55963121,0.34646856,-0.004704562,541.04958,-10.125146,516.76674,-46.258447
6.699763,-0.16520096,79.626935,2.0460999,14.15398,0.14212979,6.1613429,0.052273897,0.029960117,2231.8,581.63293,3659.8368,1118.1297,0.53438898,0.3557813,0.0072356418,585.94281,-12.214162,555.49713,-48.265158
4.7849866,-0.23627272,79.631357,2.1892381,14.453345,0.15283624,6.3822397,0.049657186,0.027844338,2245.5867,619.38138,3726.3428,1206.1306,0.51048562,0.36503123,0.021085675,646.67227,-14.492385,608.48842,-50.182964
2.8224002,-0.30824596,79.640833,2.335301,14.73852,0.16394279,6.6031338,0.046410387,0.025330347,2257.0158,656.91635,3797.8349,1295.1893,0.48416623,0.37385694,0.037088669,727.50308,-16.930111,677.95588,-52.673872
0.83161325,-0.38134597,79.656115,2.4841331,15.007246,0.17545673,6.8240406,0.042129208,0.022151818,2254.9447,690.70213,3856.6159,1379.3483,0.4517794,0.38027654,0.055224717,830.89466,-19.687212,762.37744,-55.537734
-1.1674829,-0.4568832,79.6779,2.6355329,15.250257,0.18738141,7.0449776,0.036295922,0.018064426,2201.8635,723.69564,3825.1847,1462.2627,0.38584639,0.37907082,0.075111628,959.42892,-22.989391,857.58093,-58.405809
-3.1549139,-0.5398437,79.70652,2.7890793,15.4264,0.19970488,7.2659649,0.02826963,0.012931789,1957.6047,756.96629,3379.0939,1545.9719,0.18840398,0.34876277,0.0946585,1114.902,-27.268791,956.49963,-60.139885
-5.110822,-0.64862193,79.740594,2.9435085,15.389169,0.2123566,7.4870248,0.017183303,0.0067772134,1060.6147,788.60596,1580.2398,1623.3731,-0.41543362,0.22470928,0.10317603,1277.5681,-33.818602,1031.6635,-56.675523
-7.0156646,-0.81714692,79.766022,3.0953627,14.884366,0.22510837,7.7081714,0.0077810457,0.0041400233,-698.08833,828.21285,-1410.4674,1698.8681,-1.3156426,0.013213023,0.042285396,775.48352,-40.391032,662.90558,-39.304867
-8.8504089,-1.0390651,79.772165,3.2397743,13.931958,0.23761157,7.9293753,0.011033955,0.007596666,-1937.9939,885.00672,-3226.3233,1768.6917,-1.9397674,-0.12116247,0.011179414,604.23925,-44.595903,635.06036,-19.916638
-10.596723,-1.2757937,79.770455,3.3732351,12.732424,0.24962171,8.1506154,0.016356168,0.012081182,-2459.1096,960.60348,-3796.2291,1815.485,-2.1992237,-0.16574795,-0.004905031,595.94795,-48.197758,647.84664,-9.1511325
-12.237158,-1.5029398,79.763893,3.4941648,11.442564,0.26105567,8.3718821,0.021747669,0.016810566,-2670.2119,1052.6165,-3842.8893,1840.0693,-2.2867735,-0.17201027,-0.015426426,602.32006,-50.481274,648.43517,-3.3222226
-13.755323,-1.7121108,79.754054,3.6020182,10.123398,0.27190871,8.5931679,0.027075643,0.0219403,-2787.9447,1147.8201,-3729.7929,1832.233,-2.310788,-0.16789088,-0.023257742,612.34448,-51.877348,647.00893,0.52343262
-15.13605,-1.901239,79.741773,3.6966403,8.7995035,0.28220205,8.814467,0.032178197,0.027361163,-2876.1828,1236.5029,-3569.1301,1801.4837,-2.3069737,-0.16148627,-0.029664759,621.68929,-52.568263,642.18803,3.6644391
-16.365542,-2.0700118,79.72756,3.7780444,7.4829868,0.29196442,9.0357744,0.036934711,0.032934049,-2945.593,1305.811,-3399.5129,1757.6043,-2.2855626,-0.15522042,-0.035038516,627.93508,-52.616043,634.74194,5.9752625
