delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39997333,0.00030532306,59.997519,3.4670128e-06,0.0020169371,2.6728059e-07,0.13333095,-9.8720426e-05,-0.0001025894,37.954565,-0.0022928925,37.833563,-0.008438603,0.013978731,0.0034992095,-0.0087059641,-15.741853,-22.507958,-16.31336,-22.709323
0.79978668,0.0034170283,59.995036,0.00010312163,0.02301849,7.9707124e-06,0.29998795,0.00015390448,0.00014396258,175.57134,-0.14456105,174.77703,-0.16237565,0.06480946,0.016225436,-0.005438213,24.570131,-24.501362,22.883313,-25.874225
1.1992801,0.011822454,59.993479,0.00058559716,0.081268657,4.5095786e-05,0.46664062,0.00032603937,0.00030279449,384.84569,-0.79841287,383.31076,-0.82267948,0.14223548,0.03555089,-0.0035173235,51.763646,-23.989052,47.88331,-27.418032
1.5982939,0.026904806,59.992371,0.0018897626,0.18903984,0.00014481327,0.63329101,0.00043826324,0.00039675226,638.37404,-2.3851042,637.91008,-2.4155419,0.23666299,0.058965498,-0.0028387441,68.999836,-22.835752,62.417857,-28.965266
1.9966683,0.049253352,59.991302,0.0045540768,0.35427892,0.00034716242,0.79993974,0.00054570796,0.00047219287,915.4962,-5.253792,920.85685,-5.304112,0.34118691,0.084644746,-0.0032753713,78.226849,-21.251811,68.087706,-30.558441
2.3942441,0.078775552,59.989992,0.0091762921,0.58115205,0.00069551469,0.96658627,0.00066933961,0.00055190962,1198.3491,-9.5867105,1217.7896,-9.7175448,0.45061655,0.11108503,-0.0041675864,86.326863,-19.39405,72.341186,-32.211717
2.7908623,0.11486889,59.988287,0.016382082,0.87114072,0.0012337811,1.1332294,0.00078795525,0.0006174286,1472.5145,-15.300958,1517.45,-15.702667,0.5610061,0.13709053,-0.0056232737,91.808049,-17.335962,74.147533,-33.869449
3.1863641,0.1565803,59.986017,0.02680239,1.2239075,0.0020043456,1.2998674,0.00096056417,0.00070928889,1727.8525,-22.031089,1811.9696,-23.070956,0.66934486,0.16186052,-0.0073531664,98.222674,-15.171316,76.080355,-35.488384
3.5805915,0.20274011,59.983127,0.04105666,1.6374959,0.0030466718,1.466498,0.0011633924,0.00080227152,1956.908,-29.231081,2094.9459,-31.392662,0.77254861,0.18479789,-0.009312794,105.7629,-13.009283,78.107025,-37.065322
3.9733866,0.25201994,59.979548,0.059735953,2.1081087,0.0043963114,1.6331189,0.0014255974,0.00092203905,2154.3569,-36.245248,2360.6095,-40.025149,0.86740526,0.20545272,-0.011380667,114.53872,-10.909125,81.201545,-38.545044
4.3645925,0.30300249,59.975285,0.08338379,2.630067,0.0060841215,1.7997276,0.0017203367,0.0010799906,2317.2165,-42.369784,2603.8618,-48.148268,0.95155118,0.22352569,-0.013454171,123.20874,-8.9502346,86.935709,-39.891407
4.7540525,0.35425575,59.970361,0.11247928,3.1963262,0.0081357929,1.9663216,0.0020952758,0.0012769787,2445.2862,-46.918628,2820.9003,-54.827725,1.0224478,0.23891716,-0.015391426,134.37792,-7.1759757,94.484322,-41.061774
5.141611,0.40441922,59.964844,0.14742612,3.7989951,0.010571765,2.1328984,0.0025578243,0.0015032051,2540.7506,-49.278451,3009.5686,-59.099992,1.0790973,0.2517037,-0.017174455,147.69524,-5.6307862,102.79516,-42.031297
5.527113,0.45226668,59.958816,0.18854822,4.4300811,0.013407462,2.2994557,0.0030847729,0.0017880191,2606.6141,-48.943738,3167.6673,-60.050097,1.121986,0.26199608,-0.018721593,161.44387,-4.3300165,113.66465,-42.798551
5.9104041,0.49674537,59.952369,0.23609124,5.0819572,0.016653872,2.4659915,0.0037005373,0.0021353513,2647.7558,-45.532419,3296.199,-56.867552,1.151743,0.27012681,-0.020027356,176.23879,-3.2705241,126.50186,-43.378882
