delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.010286517,109.99478,0.00018107415,0.069025307,1.3609828e-05,0.24444036,-3.5123748e-05,-7.0206014e-05,763.94103,-0.24366137,754.49568,-0.24941533,0.27953474,0.070190422,-0.022197381,-5.4512791,-19.923832,-10.7573,-23.902192
2,0.041029437,109.9874,0.0018854244,0.29119302,0.00014300893,0.54997456,0.00044295366,0.00037097555,1282.5691,-2.2255916,1280.7337,-2.2618165,0.47414872,0.11848487,-0.018510417,56.69703,-22.828315,47.396773,-33.480284
2,0.079089475,109.98172,0.0062699932,0.59618428,0.00047624462,0.85549383,0.0010832922,0.00094050838,1547.4012,-6.2395459,1570.5828,-6.3629715,0.57973046,0.14390179,-0.013448269,123.52136,-22.385589,108.84692,-37.809564
2,0.11747021,109.97777,0.013956604,0.94706669,0.0010565904,1.1610034,0.0017147436,0.0014862705,1677.2952,-11.217426,1737.6955,-11.600398,0.63824393,0.15727258,-0.008833326,180.42708,-21.77376,162.09592,-40.61036
2,0.15225981,109.97527,0.025288313,1.3225093,0.0019036754,1.466508,0.002220174,0.001889154,1730.324,-15.695439,1834.1948,-16.586445,0.66861704,0.16381861,-0.0053448988,222.6295,-21.317728,201.02114,-42.641671
2,0.18141513,109.97381,0.040443894,1.7103255,0.0030235551,1.7720107,0.0025627722,0.0021393757,1741.8576,-18.405032,1890.6686,-19.887021,0.68263811,0.16671845,-0.0030806756,249.23055,-20.968119,226.23154,-44.087743
2,0.20380821,109.97297,0.059503995,2.1025465,0.004414969,2.0775134,0.0027733449,0.0022479796,1729.6688,-18.485457,1921.4003,-20.262033,0.68494846,0.16756213,-0.001872693,264.26688,-20.689056,238.59105,-45.035576
2,0.21888535,109.97243,0.082483013,2.493705,0.0060726083,2.3830168,0.0028748776,0.0022517611,1705.4019,-15.436786,1935.9915,-16.791965,0.67932373,0.16740503,-0.00148925,270.11598,-20.45346,241.07977,-45.542442
2,0.22647215,109.97195,0.10935033,2.8801172,0.0079893165,2.6885206,0.0028898379,0.0021935716,1676.4703,-9.0373725,1940.6726,-8.9899851,0.66869875,0.16691914,-0.0016859047,268.81867,-20.235585,237.37989,-45.687391
2,0.2266409,109.97135,0.14004501,3.2593288,0.010157545,2.994024,0.0028524818,0.0020982147,1647.6521,0.6946972,1939.9373,3.1845765,0.65454639,0.16654223,-0.002266669,263.36477,-20.0593,229.52793,-45.783727
2,0.21962647,109.97052,0.17448582,3.629656,0.012570224,3.2995256,0.0027864327,0.0019842299,1621.7878,13.742884,1937.0795,20.034131,0.63779329,0.16657547,-0.0030769858,255.71372,-19.981592,219.18985,-45.983273
