delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19999667,0.00019796642,79.996482,2.2550373e-06,0.001310936,1.7187334e-07,0.17777448,-6.9300805e-05,-7.1454594e-05,24.699442,-0.00045930497,24.642126,-0.00622288,0.0091024616,0.0022806024,-0.012218593,-11.044441,-22.524353,-11.370786,-22.633345
0.39997333,0.0021669544,79.992963,6.6511415e-05,0.014742635,5.0952964e-06,0.39998362,0.00027386056,0.00026797947,110.86651,-0.08614668,110.58695,-0.09978565,0.040979414,0.010263406,-0.0076532451,43.610402,-26.59911,42.588407,-27.387769
0.59991,0.007302868,79.990838,0.00037204628,0.051082838,2.8462324e-05,0.62218713,0.00051105237,0.00049723612,237.66004,-0.47143453,237.16712,-0.48099329,0.087959308,0.021993052,-0.0044726769,81.103991,-27.032809,78.784742,-29.028466
0.79978668,0.016275404,79.989566,0.0011854957,0.1172532,9.0383733e-05,0.84438838,0.00065511358,0.000629512,388.31617,-1.3629159,388.29198,-1.3501566,0.14404101,0.035915325,-0.0027487536,103.45254,-26.683325,99.455313,-30.273191
0.99958339,0.029171395,79.988709,0.0028259866,0.21693969,0.00021453227,1.0665891,0.00073644253,0.00069513093,550.01139,-2.8951743,552.08583,-2.8359832,0.20470208,0.050869212,-0.0020660208,115.50102,-25.970268,109.51042,-31.408697
1.1992801,0.045836272,79.987963,0.0056408219,0.35250356,0.00042617942,1.2887898,0.00077861886,0.00071603262,718.97857,-5.0897839,726.02699,-4.965382,0.26876581,0.066559199,-0.0020960247,121.08532,-25.009908,112.54428,-32.503494
1.3988569,0.065843296,79.987071,0.0099946039,0.52470975,0.00075114413,1.51099,0.00084091738,0.00074900873,884.67321,-7.8480342,900.66357,-7.652522,0.33260364,0.082063364,-0.0028033656,120.1715,-23.865492,109.1627,-33.529022
1.5982939,0.08869984,79.985952,0.016254241,0.73381154,0.001214601,1.7331889,0.00090611093,0.0007777562,1048.763,-10.948556,1078.9128,-10.710843,0.3969464,0.097623235,-0.0035051597,120.48764,-22.631422,106.6017,-34.570498
1.797571,0.1137359,79.984573,0.024786262,0.97897105,0.0018409411,1.9553852,0.00095907592,0.00078901682,1202.5669,-14.083543,1252.3731,-13.862738,0.45887318,0.11247358,-0.0043437037,120.36636,-21.361866,103.36205,-35.590433
1.9966683,0.14038112,79.982894,0.035946999,1.2596015,0.0026530863,2.1775777,0.0010047996,0.00079006024,1351.0044,-16.88009,1427.0554,-16.746728,0.51995071,0.127154,-0.0052700335,120.18396,-20.059202,100.06467,-36.601995
2.195566,0.16790857,79.980869,0.050085015,1.5742037,0.0036728593,2.3997651,0.0010819454,0.00080883148,1488.1916,-18.95555,1596.4018,-18.949882,0.57821232,0.14112465,-0.006371622,119.11305,-18.759202,95.875765,-37.563913
2.3942441,0.19580815,79.978502,0.067535151,1.9220138,0.0049206475,2.621946,0.0011773487,0.00084220439,1618.4064,-19.935489,1765.6943,-20.018759,0.63482489,0.15487454,-0.0073376597,120.20546,-17.477429,94.175471,-38.526842
